id	en	hu
254	Mi az az új bizonyíték,~amiről az imént beszélt?	Mi az az új bizonyíték,~amiről az imént beszélt?
255	Miért, megfújod a kürtöt, és rájuk szabadítod a sok pókhasút?	Miért, megfújod a kürtöt, és rájuk szabadítod a sok pókhasút?
256	Ez a fickó, Red, megpróbált ma ájulást színlelni.	Ez a fickó, Red, megpróbált ma ájulást színlelni.
257	Meg a húgán is. - Nem a húgom.	Meg a húgán is. - Nem a húgom.
258	Utána...álmomban egy börtöncella rácsa előtt álltam és kinéztem a rácson.	Utána...álmomban egy börtöncella rácsa előtt álltam és kinéztem a rácson.
259	Végül, ha az indítványa még él, szavazásra kerül.	Végül, ha az indítványa még él, szavazásra kerül.
260	Ezt írja új bekezdésbe és használja az 5-ös és 10-es pecsétet.	Ezt írja új bekezdésbe és használja az 5-ös és 10-es pecsétet.
261	~Az sem baj, ha nem ölelhetlek,~ Határozottan éreztem egy erős csípést.	~Az sem baj, ha nem ölelhetlek,~ Határozottan éreztem egy erős csípést.
262	A készletek és a felszerelés a fedélzeten van.	A készletek és a felszerelés a fedélzeten van.
263	Napközben hazatértem, és egy kép függött a szobádban Henriettáról – a táncosról.	Napközben hazatértem, és egy kép függött a szobádban Henriettáról – a táncosról.
264	A félszigetet a nyakánál egy fal vágja el... ... aszigettöbbirészétől.	A félszigetet a nyakánál egy fal vágja el... ... aszigettöbbirészétől.
265	Nos, Tom, ha a hazának szüksége van rád, szüksége van rád.	Nos, Tom, ha a hazának szüksége van rád, szüksége van rád.
266	A zsebmetszés és a betörés a tökfejeknek való!	A zsebmetszés és a betörés a tökfejeknek való!
267	Csupán beszéltem a menedékemmel, és máris kevésbé félek.	Csupán beszéltem a menedékemmel, és máris kevésbé félek.
268	Keressétek meg a szállásotokat, és várjatok az óhajomra.	Keressétek meg a szállásotokat, és várjatok az óhajomra.
269	A torkosság általában nem fér össze egyéb elfoglaltságaimmal.	A torkosság általában nem fér össze egyéb elfoglaltságaimmal.
270	Egy új élethez, szükséged van egy új identitásra!	Egy új élethez, szükséged van egy új identitásra!
271	És be van zárva azóta is egy fém iratszekrénybe.	És be van zárva azóta is egy fém iratszekrénybe.
272	De ne aggódjon, hölgyem! Megszabadítom a börtönéből és kitárom önnek a világot.	De ne aggódjon, hölgyem! Megszabadítom a börtönéből és kitárom önnek a világot.
273	A vezetőség, miután behatóan tanulmányozta a munkások követeléseit...	A vezetőség, miután behatóan tanulmányozta a munkások követeléseit...
274	Az úri nép ezt a szakmát néha passzióból űzi.	Az úri nép ezt a szakmát néha passzióból űzi.
275	Ha végzünk a lázadókkal, végzünk a lázadással is.	Ha végzünk a lázadókkal, végzünk a lázadással is.
276	Értem már. A jó szívemre apellálsz, így újévkor.	Értem már. A jó szívemre apellálsz, így újévkor.
277	Az 5-ös, a 9-es részleget is berendelték, és a 2B szekciót is.	Az 5-ös, a 9-es részleget is berendelték, és a 2B szekciót is.
278	Ez a szín... és ez a szín, egyformák.	Ez a szín... és ez a szín, egyformák.
279	Hát, sajnálom, de egy hintóval vár a Borgó hágónál éjfélkor.	Hát, sajnálom, de egy hintóval vár a Borgó hágónál éjfélkor.
280	Ha megakadályozzuk az erős robbanást... - Itt van!	Ha megakadályozzuk az erős robbanást... - Itt van!
281	Én nem tenném ha én lennék az örökös.	Én nem tenném ha én lennék az örökös.
282	Ez okoskodásnak tűnhet, de a szegénynek is van büszkesége.	Ez okoskodásnak tűnhet, de a szegénynek is van büszkesége.
283	Végezzük el az utolsó kísérletet. A kapcsolókat. Jó.	Végezzük el az utolsó kísérletet. A kapcsolókat. Jó.
284	A Megváltó elhívta a halászok mennyországába a többi régi barátjához.	A Megváltó elhívta a halászok mennyországába a többi régi barátjához.
285	Kitörli a seggét, és ráragasztja a papírt a vécére!	Kitörli a seggét, és ráragasztja a papírt a vécére!
286	Ha már úgyis itt van, beszéljük meg közösen.	Ha már úgyis itt van, beszéljük meg közösen.
287	Pénz áll a házhoz, rövid úton, egy sötét hölgytől!	Pénz áll a házhoz, rövid úton, egy sötét hölgytől!
288	Ő nem fog a sírjából elérni, és tönkretenni az életünket.	Ő nem fog a sírjából elérni, és tönkretenni az életünket.
289	A világ is azt hinné, ha megtudnák, mit műveltem.	A világ is azt hinné, ha megtudnák, mit műveltem.
290	...öt év börtönbüntetésre ítélve emberölésért amiből négy és fél hónapot már letöltött...	...öt év börtönbüntetésre ítélve emberölésért amiből négy és fél hónapot már letöltött...
291	Szívesen szemügyre venném közelebbről is ezt a játékot.	Szívesen szemügyre venném közelebbről is ezt a játékot.
292	Ha nem bánja, szeretnék a feleségem mellé ülni.	Ha nem bánja, szeretnék a feleségem mellé ülni.
293	Ja. Úgy tűnik van itt pár acélöves rohadék, mi?	Ja. Úgy tűnik van itt pár acélöves rohadék, mi?
294	Négy hét óta ma jártam először a városban, felügyelő úr.	Négy hét óta ma jártam először a városban, felügyelő úr.
295	Még nem fejeztük be, mindjárt ideér a rendőrség!	Még nem fejeztük be, mindjárt ideér a rendőrség!
296	És az eszét használva egy óriási intézményt hoz létre.	És az eszét használva egy óriási intézményt hoz létre.
297	Ha a múltadról beszélsz az enyém sem rózsásabb.	Ha a múltadról beszélsz az enyém sem rózsásabb.
298	A rákéhoz hasonló ollók a tájékozódás és a küzdelem eszközei.	A rákéhoz hasonló ollók a tájékozódás és a küzdelem eszközei.
299	Az életem függ attól a pénztől, báró úr.	Az életem függ attól a pénztől, báró úr.
300	Éppen ezért az üzlet vezetését rövid időre átadom a feleségemnek.	Éppen ezért az üzlet vezetését rövid időre átadom a feleségemnek.
301	Nem szeretném, ha jól járna az extrém hatékony alattomosságával.	Nem szeretném, ha jól járna az extrém hatékony alattomosságával.
302	Ki az az úr aki az imént jött?	Ki az az úr aki az imént jött?
303	Ez egy riasztó, ami közvetlenül a rendőrséget értesíti.	Ez egy riasztó, ami közvetlenül a rendőrséget értesíti.
304	Hálás lennék, ha nem csavarná el a fejét.	Hálás lennék, ha nem csavarná el a fejét.
305	A többi lány álljon mögéjük, és a fiúk leghátra.	A többi lány álljon mögéjük, és a fiúk leghátra.
306	Ha nem bánja, mi lemennénk és megnéznénk, mi történik a kandallóval.	Ha nem bánja, mi lemennénk és megnéznénk, mi történik a kandallóval.
307	És nem találták meg, különben nem kéne követnünk.	És nem találták meg, különben nem kéne követnünk.
308	Egy szegény holdkóros ... - A királynő megsérült?	Egy szegény holdkóros ... - A királynő megsérült?
309	Miért nem tisztázzátok végre a nézeteltéréseiteket egy késpárbajon?	Miért nem tisztázzátok végre a nézeteltéréseiteket egy késpárbajon?
310	Ha az idősebbek kidölnének közülünk... a fiatalság félreállíthatatlanul a helyükre fog lépni.	Ha az idősebbek kidölnének közülünk... a fiatalság félreállíthatatlanul a helyükre fog lépni.
311	A szokásos a bérskálájuk, és a betegbiztosításuk is.	A szokásos a bérskálájuk, és a betegbiztosításuk is.
312	Úgyse nő be a fejünk lágya vár ránk sok szép lány ágya	Úgyse nő be a fejünk lágya vár ránk sok szép lány ágya
313	Ne sírj, drágám! Pár hét múlva vége a háborúnak, és visszajövök hozzád.	Ne sírj, drágám! Pár hét múlva vége a háborúnak, és visszajövök hozzád.
314	Miért nem rázod le a férjed, és adj inkább másnak egy esélyt?	Miért nem rázod le a férjed, és adj inkább másnak egy esélyt?
315	Még elköszönnék öntől, e prezentációról, és köszönöm, az ön bájos segítségét.	Még elköszönnék öntől, e prezentációról, és köszönöm, az ön bájos segítségét.
316	Egy vékony réteg termőföld borítja immár a földdarabot.	Egy vékony réteg termőföld borítja immár a földdarabot.
317	Előbb vadászd le az ellenséged, aztán a nő.	Előbb vadászd le az ellenséged, aztán a nő.
318	És jár, és jár, és jár, és jár... S egy hónap tovaszáll.	És jár, és jár, és jár, és jár... S egy hónap tovaszáll.
319	Nem így képzeltem el a hajózást az óceánon.	Nem így képzeltem el a hajózást az óceánon.
320	Ez a veszekedés a bátyáddal Rómában kerül elrendezésre.	Ez a veszekedés a bátyáddal Rómában kerül elrendezésre.
321	Két évvel azelőtt rabolták el és hozták ide, mielőtt ideérkeztünk.	Két évvel azelőtt rabolták el és hozták ide, mielőtt ideérkeztünk.
322	Főnök, jól jönne ide egy pár segítő kéz.	Főnök, jól jönne ide egy pár segítő kéz.
323	A fő hálószoba, az ön hálószobája, itt van.	A fő hálószoba, az ön hálószobája, itt van.
324	Mielőtt észrevennéd, a hajómon leszünk, és vitorlázunk az öbölben.	Mielőtt észrevennéd, a hajómon leszünk, és vitorlázunk az öbölben.
325	Ha összekuszálod a kötélzetem, elnáspángolom a tatfedélzeted, érted?	Ha összekuszálod a kötélzetem, elnáspángolom a tatfedélzeted, érted?
326	Óh, ha cár lehetnék - a szalonnát is szalonnával enném!	Óh, ha cár lehetnék - a szalonnát is szalonnával enném!
327	A téli áradás egy év munkáját pusztíthatja el.	A téli áradás egy év munkáját pusztíthatja el.
328	Ami ellenáll a évszázadoknak... az az évszázadokban erősödik meg.	Ami ellenáll a évszázadoknak... az az évszázadokban erősödik meg.
329	Te csináltad ezt a tortát? Nem. Nem én.	Te csináltad ezt a tortát? Nem. Nem én.
330	"Azt mondják, ""hóbortos"", ezt mi úgy mondanánk, ""lökött""."	"Azt mondják, ""hóbortos"", ezt mi úgy mondanánk, ""lökött""."
331	Ezért vadászott rá, ezért gyűlölte őt és az ő barátait.	Ezért vadászott rá, ezért gyűlölte őt és az ő barátait.
332	Egy kis fortéllyal, magát az ördögöt is legyőzheted!	Egy kis fortéllyal, magát az ördögöt is legyőzheted!
333	A szenátusnak nem jó a Házjavaslata, a Háznak nem jó a szenátusé.	A szenátusnak nem jó a Házjavaslata, a Háznak nem jó a szenátusé.
334	Néhány év börtön, úgy tűnik, megérleli őket a munkára.	Néhány év börtön, úgy tűnik, megérleli őket a munkára.
335	Láttunk három színdarabot, két kiállítást, meg az állatkertet.	Láttunk három színdarabot, két kiállítást, meg az állatkertet.
336	Nem szükséges emlékeztetnie a köte- lességünkről és a törvényről.	Nem szükséges emlékeztetnie a köte- lességünkről és a törvényről.
337	A hónap elején még több vonzerő érkezik ide.	A hónap elején még több vonzerő érkezik ide.
338	Úgy tűnik nem sok pénze van, de legalább egy hétköznapi nő.	Úgy tűnik nem sok pénze van, de legalább egy hétköznapi nő.
339	Erőt ad, bátorságot, és célt, amiért érdemes küzdeni.	Erőt ad, bátorságot, és célt, amiért érdemes küzdeni.
340	Szeretném, ha nem hagyná el ezt a szobát.	Szeretném, ha nem hagyná el ezt a szobát.
341	Sárga Kéz után küldtek, nem? - Meg is találtam.	Sárga Kéz után küldtek, nem? - Meg is találtam.
342	De itt jön Hi Hat, veszélyezteti az elsőségét.	De itt jön Hi Hat, veszélyezteti az elsőségét.
343	Ha nem bánja, leülök, míg nem jön egy.	Ha nem bánja, leülök, míg nem jön egy.
344	És ha elfelejtenétek, - miként Júdás - árulókká váltok, egész Oroszország szemében!	És ha elfelejtenétek, - miként Júdás - árulókká váltok, egész Oroszország szemében!
345	Nem állhatunk meg, amíg szét nem zúztuk ezt a bohócot.	Nem állhatunk meg, amíg szét nem zúztuk ezt a bohócot.
346	Még ezt a Nagyapót se, aki ólomzáport zúdított ránk?	Még ezt a Nagyapót se, aki ólomzáport zúdított ránk?
347	De hát ezt nem tehetjük be az újságba!	De hát ezt nem tehetjük be az újságba!
348	Nem pampognék én, ha nem csalná meg azt is.	Nem pampognék én, ha nem csalná meg azt is.
349	Ki az a férfi, aki az erkélyén át szökött meg a palotából?	Ki az a férfi, aki az erkélyén át szökött meg a palotából?
350	A többi üzlet a fejlesztés fázisában van, akárcsak mi, és piackutatásokat végeznek...	A többi üzlet a fejlesztés fázisában van, akárcsak mi, és piackutatásokat végeznek...
351	Miért nem követi egy polgár sem kormányzója példáját, aki szó nélkül állja a kínok kínját?	Miért nem követi egy polgár sem kormányzója példáját, aki szó nélkül állja a kínok kínját?
352	Ez az az ördögi erő, ami a lányra támadt.	Ez az az ördögi erő, ami a lányra támadt.
353	Ha te nem volnál itt, valószínűleg képtelen lennék kibírni itt a leszerelésig.	Ha te nem volnál itt, valószínűleg képtelen lennék kibírni itt a leszerelésig.
354	Jó pénz ez, még ha az enyém is.	Jó pénz ez, még ha az enyém is.
355	Megszöktetett az őrmester elől, aki a jó barátom.	Megszöktetett az őrmester elől, aki a jó barátom.
356	Itt a világmindenség és az idő is megáll.	Itt a világmindenség és az idő is megáll.
357	Ha sikerül idecsábítanom, de másokat is itt talál...	Ha sikerül idecsábítanom, de másokat is itt talál...
358	Így hát úgy dönt, megkérdi az illető nevét és érdeklődik a hogyléte iránt.	Így hát úgy dönt, megkérdi az illető nevét és érdeklődik a hogyléte iránt.
359	A szerencsés fiút a bejelentés óta nem láttam.	A szerencsés fiút a bejelentés óta nem láttam.
360	Anyám és a lányom többé nem fog szégyenkezni.	Anyám és a lányom többé nem fog szégyenkezni.
361	A régi történet, egy fiú és egy lány.	A régi történet, egy fiú és egy lány.
362	Így hozattál ki a börtönből és léptettél elő hadnaggyá? ! .	Így hozattál ki a börtönből és léptettél elő hadnaggyá? ! .
363	E gondolattól való félelem ölte meg az apámat.	E gondolattól való félelem ölte meg az apámat.
364	Talán az öreg Ben előszed egy újabb trükköt a szakálla mögül.	Talán az öreg Ben előszed egy újabb trükköt a szakálla mögül.
365	Elnök úr értékelem a bizalmát, és még ma éjjel írok az állami kincstárnoknak.	Elnök úr értékelem a bizalmát, és még ma éjjel írok az állami kincstárnoknak.
366	Nem fog, ha számíthatok egy kis együttműködésre zenész hajlamú barátunktól.	Nem fog, ha számíthatok egy kis együttműködésre zenész hajlamú barátunktól.
367	Nos, talán fátylat borítok rá, ha bocsánatot kér.	Nos, talán fátylat borítok rá, ha bocsánatot kér.
368	Végül is, az én ügyfelem pénzéről van szó.	Végül is, az én ügyfelem pénzéről van szó.
369	Egy szállítócég ügynökei jártak itt, két órát vártak.	Egy szállítócég ügynökei jártak itt, két órát vártak.
370	"Ha szökni próbálnak, az őröknek tűzparancsuk van... ""...a tábor területén kívül."	"Ha szökni próbálnak, az őröknek tűzparancsuk van... ""...a tábor területén kívül."
371	Ezt kérdeztem én is, de már itt van.	Ezt kérdeztem én is, de már itt van.
372	Őrültek lennénk, ha nem egészítenénk ki a fizetésünk.	Őrültek lennénk, ha nem egészítenénk ki a fizetésünk.
373	Örömömre szolgál átadni ezt a bizonyítványt a legkiválóbb tanulónknak.	Örömömre szolgál átadni ezt a bizonyítványt a legkiválóbb tanulónknak.
374	...s elérhetnénk a célt, miről a tudomány még nem álmodott.	...s elérhetnénk a célt, miről a tudomány még nem álmodott.
375	Jól megfenyítenélek, ha nem lennél már túlkoros hozzá.	Jól megfenyítenélek, ha nem lennél már túlkoros hozzá.
376	Nem, te adtál a feleségednek egy fél lónyugatatót.	Nem, te adtál a feleségednek egy fél lónyugatatót.
377	Ha te szolgálod fel, a szaké elveszíti a csípősségét.	Ha te szolgálod fel, a szaké elveszíti a csípősségét.
378	Az első a listámon, Napóleon sírjának a meglátógátasa.	Az első a listámon, Napóleon sírjának a meglátógátasa.
379	Bocsánatot szeretnék kérni. Kezdjük újra az életünket. Az életünket?	Bocsánatot szeretnék kérni. Kezdjük újra az életünket. Az életünket?
380	Azt mondták, a kocsiszínben van a sebesült katonákkal.	Azt mondták, a kocsiszínben van a sebesült katonákkal.
381	Miért csinálod ezt, és csináltad azt az előbb?	Miért csinálod ezt, és csináltad azt az előbb?
382	Ellenőriztem a horoszkópjukat, és megfelelő dátumot választottam az esküvőre.	Ellenőriztem a horoszkópjukat, és megfelelő dátumot választottam az esküvőre.
383	A fél város idejön megnézni ezt a félnótást.	A fél város idejön megnézni ezt a félnótást.
384	És küldjön egy példányt a Naná-ból a címemre.	És küldjön egy példányt a Naná-ból a címemre.
385	És egy a kis fiúnak aki a bányaengedélyt kéri.	És egy a kis fiúnak aki a bányaengedélyt kéri.
386	De inkább nem mondanám el őket az asztalánál.	De inkább nem mondanám el őket az asztalánál.
387	Küldjön ki járőröket, és vegyék körül a házat!	Küldjön ki járőröket, és vegyék körül a házat!
388	Úgy tűnik, a kiadókat mit sem érdekli az eladások növelése.	Úgy tűnik, a kiadókat mit sem érdekli az eladások növelése.
389	Talán a nevetése fog meggyógyítani, ha más nem.	Talán a nevetése fog meggyógyítani, ha más nem.
390	Egy asztallakó számítógép-őrültből, azzá a sráccá váltam, aki bringázik a munkába -- szórakozásból.	Egy asztallakó számítógép-őrültből, azzá a sráccá váltam, aki bringázik a munkába -- szórakozásból.
391	De látod, nem számít, mit tettél, a végén ülünk egy asztalnál.	De látod, nem számít, mit tettél, a végén ülünk egy asztalnál.
392	Az értékét a résztvevők hozzák létre, de az egész társadalom élvezi.	Az értékét a résztvevők hozzák létre, de az egész társadalom élvezi.
393	Ez elsőbbséget élvez az összeadás előtt, tehát ezt végezzük el az összeadás előtt.	Ez elsőbbséget élvez az összeadás előtt, tehát ezt végezzük el az összeadás előtt.
394	És láthatjuk az osztrigatermelést a közösség számára a szélei mentén.	És láthatjuk az osztrigatermelést a közösség számára a szélei mentén.
395	Szóval két és fél órán keresztül süllyedsz a fenékre.	Szóval két és fél órán keresztül süllyedsz a fenékre.
396	Így a vállalatok, a nagyvállalatok nem csinálják ezt.	Így a vállalatok, a nagyvállalatok nem csinálják ezt.
397	És a következő évben nekivágtam a Csendes-óceán második szakaszának, Hawaiiból le Tarawára.	És a következő évben nekivágtam a Csendes-óceán második szakaszának, Hawaiiból le Tarawára.
398	Távoli de megközelíthető, tehát biztonságos és nem függünk a mesterséges hűtéstől.	Távoli de megközelíthető, tehát biztonságos és nem függünk a mesterséges hűtéstől.
399	Természetesen öt van mindkettőn, de ez valójában egyszerűbb ennél.	Természetesen öt van mindkettőn, de ez valójában egyszerűbb ennél.
400	De a rák nem így kezdődik. A rákok vérellátás nélkül kezdődnek.	De a rák nem így kezdődik. A rákok vérellátás nélkül kezdődnek.
401	nem kérek ebből, a civilizáció egy óriási tévedés.	nem kérek ebből, a civilizáció egy óriási tévedés.
402	Üljünk le és beszéljünk egy kis tea közben.	Üljünk le és beszéljünk egy kis tea közben.
403	K UZ E Y G Ü N E Y	K UZ E Y G Ü N E Y
404	Így, ha van bármi igazság a régi mondásban,	Így, ha van bármi igazság a régi mondásban,
405	De ha megnézzük saját társadalmainkat, rendkívüli egészségbeni különbségeket láthatunk a különböző rétegek között.	De ha megnézzük saját társadalmainkat, rendkívüli egészségbeni különbségeket láthatunk a különböző rétegek között.
406	Az ablakból is szemtanúja elején Az általános derengő kívül.	Az ablakból is szemtanúja elején Az általános derengő kívül.
407	Miért nem rendezzük meg a táncestet a börtönben?	Miért nem rendezzük meg a táncestet a börtönben?
408	És a srác, aki ezt csinálta, csinált egy bedobós automatát legóból.	És a srác, aki ezt csinálta, csinált egy bedobós automatát legóból.
409	Tehát ő meglátta ezt a szükségletet és közbelépett.	Tehát ő meglátta ezt a szükségletet és közbelépett.
410	Itt rehabilitáción és az oktatáson van a hangsúly.	Itt rehabilitáción és az oktatáson van a hangsúly.
411	Segítsük őket az életbenmaradásban, és a végén talán valóban drogmentessé válnak.	Segítsük őket az életbenmaradásban, és a végén talán valóban drogmentessé válnak.
412	Egy Dániában, ahová nem idéztek be, és egy Norvégiában.	Egy Dániában, ahová nem idéztek be, és egy Norvégiában.
413	A felhőszakadás véget ért, és a szürke köd és a felhők is eltűntek az éjszakában a szél.	A felhőszakadás véget ért, és a szürke köd és a felhők is eltűntek az éjszakában a szél.
414	A Dolgozók és a Gépek együtt hozzák az Eredményt (O).	A Dolgozók és a Gépek együtt hozzák az Eredményt (O).
415	Elköszöntem a barátaimtól, a kis falumtól és a családomtól.	Elköszöntem a barátaimtól, a kis falumtól és a családomtól.
416	Az óra szólt négy, és a végső sötétség az éjszaka már elmúlt.	Az óra szólt négy, és a végső sötétség az éjszaka már elmúlt.
417	A hím csimpánzok testvérei, a nőstény bonobók nővérei?	A hím csimpánzok testvérei, a nőstény bonobók nővérei?
418	A szavazós kérdés valós idejű felmérést ad a hallgatóságról, ami segíti őket a tanulásban.	A szavazós kérdés valós idejű felmérést ad a hallgatóságról, ami segíti őket a tanulásban.
419	Képzést végzünk Kínában, Amerikában, és sok más országban.	Képzést végzünk Kínában, Amerikában, és sok más országban.
420	És a záró érvelések után, vége az egésznek.	És a záró érvelések után, vége az egésznek.
421	Rögzítsék a tekintetüket, és terjesszék ki, húzzák szét a figyelmüket.	Rögzítsék a tekintetüket, és terjesszék ki, húzzák szét a figyelmüket.
422	Ellentmondásos, ami ma a feltörekvő országok gazdaságával történik.	Ellentmondásos, ami ma a feltörekvő országok gazdaságával történik.
423	Tulajdonképpen, itt van egy telefonszám és egy cím Pakisztánból.	Tulajdonképpen, itt van egy telefonszám és egy cím Pakisztánból.
424	Te és a te hülye kamerád a probléma.	Te és a te hülye kamerád a probléma.
425	Talán a látomásnak inkább a béke szemléletében kéne létrejönnie.	Talán a látomásnak inkább a béke szemléletében kéne létrejönnie.
426	Válságba került az EU és az unió közös pénze?	Válságba került az EU és az unió közös pénze?
427	Jól nézzék meg, ez a mai tiszta-szén technológia	Jól nézzék meg, ez a mai tiszta-szén technológia
428	Az apám , és anyukám még nálatok van?	Az apám , és anyukám még nálatok van?
429	A téma megérett a tudományos vizsgálatra, de még nem mentünk utána.	A téma megérett a tudományos vizsgálatra, de még nem mentünk utána.
430	Szóval egy nap ez érkezett -- ez egy valós megkeresés --:	Szóval egy nap ez érkezett -- ez egy valós megkeresés --:
431	És itt van egy tej, ami egy növénytől, a szójától származik.	És itt van egy tej, ami egy növénytől, a szójától származik.
432	Ez nem egy kézrázás. Nem egy megállapodás. Nem egy szerződés.	Ez nem egy kézrázás. Nem egy megállapodás. Nem egy szerződés.
433	Ezt ismételte újra és újra és újra a fejében,	Ezt ismételte újra és újra és újra a fejében,
434	Már egy kis fejlődés is rendkívüli módon, és végérvényesen hatásos.	Már egy kis fejlődés is rendkívüli módon, és végérvényesen hatásos.
435	Számunkra a mérvadó mértékegység a diák per étékes idő a tanárral arány.	Számunkra a mérvadó mértékegység a diák per étékes idő a tanárral arány.
436	Ez tényleg egy ár-teljesítménycentrikus, megléphető megoldás egy égető problémára.	Ez tényleg egy ár-teljesítménycentrikus, megléphető megoldás egy égető problémára.
437	És ez az ami a három hónapos időszak után történt.	És ez az ami a három hónapos időszak után történt.
438	Itt van pár mostanában készült kép, a Spirit-től és az Opportunity-tól.	Itt van pár mostanában készült kép, a Spirit-től és az Opportunity-tól.
439	És végül van nekünk itt ez a kis átló, ezt világoskékkel jelölöm.	És végül van nekünk itt ez a kis átló, ezt világoskékkel jelölöm.
440	A kíváncsiság és a felfedezés a játék forgatókönyvének a része.	A kíváncsiság és a felfedezés a játék forgatókönyvének a része.
441	Elkötelezetten viselkedünk, és aztán elkezdjük megérteni a vallásokban rejlő igazságot.	Elkötelezetten viselkedünk, és aztán elkezdjük megérteni a vallásokban rejlő igazságot.
442	Tízszer bármi, az bármi egy nullát hozzáadva végéhez.	Tízszer bármi, az bármi egy nullát hozzáadva végéhez.
443	Egészen az örökkévalóság végéig, ha van egyáltalán vége	Egészen az örökkévalóság végéig, ha van egyáltalán vége
444	Itt van egy -- fej, utána írás, utána fej.	Itt van egy -- fej, utána írás, utána fej.
445	Ez őrület, de valójában ez történik a krónikus fájdalom esetén.	Ez őrület, de valójában ez történik a krónikus fájdalom esetén.
446	Egy költő például így írja le ezt az állapotot.	Egy költő például így írja le ezt az állapotot.
447	Évszázadokon keresztül nem hittük el, a bizonyítékok dacára.	Évszázadokon keresztül nem hittük el, a bizonyítékok dacára.
448	Végezzetek egyszerű méréseket, figyeljétek a szívverést, keringést vérnyomást.	Végezzetek egyszerű méréseket, figyeljétek a szívverést, keringést vérnyomást.
449	Szóval ez valójában egy játék két felfogás között.	Szóval ez valójában egy játék két felfogás között.
450	Az azt megelőző nap, így láttam az óceánt.	Az azt megelőző nap, így láttam az óceánt.
451	Ha észreveszik, és visszahívják önt, egyszerűen ne vegyék fel.	Ha észreveszik, és visszahívják önt, egyszerűen ne vegyék fel.
452	Mi van, ha ő is a kereszttűzbe kerül?	Mi van, ha ő is a kereszttűzbe kerül?
453	"Felség valóban elkövetett indiszkréció. "" Én őrült - őrült."	"Felség valóban elkövetett indiszkréció. "" Én őrült - őrült."
454	Van más választás ? - De jöjjön,nem baj .	Van más választás ? - De jöjjön,nem baj .
455	És a világ lakossága nem fog tovább nőni.	És a világ lakossága nem fog tovább nőni.
456	Nem , nem , ő egy varázs tojás a öröm királyságból !	Nem , nem , ő egy varázs tojás a öröm királyságból !
457	Egy kilencfogásos Mola-vacsorát szolgáltak fel nekünk a címkézés után.	Egy kilencfogásos Mola-vacsorát szolgáltak fel nekünk a címkézés után.
458	Valójában ez a terület, a VTA, része az agy jutalmazó rendszerének.	Valójában ez a terület, a VTA, része az agy jutalmazó rendszerének.
459	És itt van hozzá a kép: ez a Dolgozók száma, és ez a Kókuszdió mennyisége.	És itt van hozzá a kép: ez a Dolgozók száma, és ez a Kókuszdió mennyisége.
460	Aztán az elmúlt néhány évben értesültem a Csendes-óceáni szeméttelepről.	Aztán az elmúlt néhány évben értesültem a Csendes-óceáni szeméttelepről.
461	A biológusokat újra meg újra lenyűgözi a felfedezés zsenialitása.	A biológusokat újra meg újra lenyűgözi a felfedezés zsenialitása.
462	Tehát a tengervízhez használt fordított ozmózis eljárás egy membránszűréses technológia.	Tehát a tengervízhez használt fordított ozmózis eljárás egy membránszűréses technológia.
463	Te nem válaszoltál a hívásokra , és aggódtam .	Te nem válaszoltál a hívásokra , és aggódtam .
464	Köszönöm, de egyedül a Nagykövet szolgálhat bármiféle megjegyzéssel.	Köszönöm, de egyedül a Nagykövet szolgálhat bármiféle megjegyzéssel.
465	A gravitációt és a szűrőket használva szétosztható a víz a házban tusolásra, ivóvíznek és a melegház számára.	A gravitációt és a szűrőket használva szétosztható a víz a házban tusolásra, ivóvíznek és a melegház számára.
466	Sok iskolában jártam, és még középiskolai tanárok is mondják,	Sok iskolában jártam, és még középiskolai tanárok is mondják,
467	Ha az előbbi, ő valószínűleg át a fényképet az ő vezetése.	Ha az előbbi, ő valószínűleg át a fényképet az ő vezetése.
468	Szóval ez működik az első kifejezés esetében is.	Szóval ez működik az első kifejezés esetében is.
469	Ön is bizonyára már égett, már éltél néhány évszázaddal ezelőtt.	Ön is bizonyára már égett, már éltél néhány évszázaddal ezelőtt.
470	Az új gépek és a kiöregedő gépek száma egyenlő.	Az új gépek és a kiöregedő gépek száma egyenlő.
471	A mai vadászó-gyűjtögető társadalmakban munkamegosztás van az élelemszerzésben a férfiak vadásznak, a nők gyűjtögetnek.	A mai vadászó-gyűjtögető társadalmakban munkamegosztás van az élelemszerzésben a férfiak vadásznak, a nők gyűjtögetnek.
472	Ők szociális kényszerek között működtek, és nem szerződéses kényszerek között.	Ők szociális kényszerek között működtek, és nem szerződéses kényszerek között.
473	Ezt így egészében nem írom fel a számegyenesre.	Ezt így egészében nem írom fel a számegyenesre.
474	Üdvözöllek a negatív számok összeadásáról és kivonásáról szóló előadásomon.	Üdvözöllek a negatív számok összeadásáról és kivonásáról szóló előadásomon.
475	Ha fájdalmai lennének nem mutatnám Önöknek ezt a diát.	Ha fájdalmai lennének nem mutatnám Önöknek ezt a diát.
476	Tehát a tojást helyettesíthetik banánnal, még almaszósszal is.	Tehát a tojást helyettesíthetik banánnal, még almaszósszal is.
477	Egyesült Királyság, Portugália, Egyesült Államok, Szingapúr -- a különbségek kétszer ekkorák.	Egyesült Királyság, Portugália, Egyesült Államok, Szingapúr -- a különbségek kétszer ekkorák.
478	lepárolom az érzelmi maradványokat, és elképzelem az életemet.	lepárolom az érzelmi maradványokat, és elképzelem az életemet.
