id	en	bn
298	I pledge allegiance] to the flag of the United States of America, and to the republic for which it stands - one nation under God - indivisible - with liberty and justice for all	শিক্ষার্থীঃ [আমি অনুগত] যুক্তরাষ্ট্রে পতাকার প্রতি, এবং প্রজাতন্ত্রের প্রতি - স্বাধীনতা এবং সকলের জন্য ন্যায়বিচারের
299	What did you learn in school? at the end of a day. And he said, in contrast, his Jewish mother would say	আজ স্কুলে কি শিখেছো? দিনের শেষে। এবং সে বললো, এর পরিবর্তে, তার ইহুদি মা তাকে বলতো
300	I have the answer to a question that we've all asked. The question is, Why is it that the letter X represents the unknown? Now I know we learned that in math class, but now it's everywhere in the culture	আমার কাছে একটি প্রশ্নের উত্তর আছে যা আমরা সকলেই করেছি। প্রশ্নটি হচ্ছে, কেন এক্স অক্ষরটিকে অজানা হিসেবে ধরা হয়? এখন আমি জানি, আমরা এটা শিখেছি গণিত ক্লাসে, কিন্তু এখন তা সকল সংস্কৃতিতে, এক্স পুরস্কার, এক্স ফাইলস, এক্স প্রকল্প, টেডএক্স। কোথায় থেকে এল এটা
301	The dogmas of the quiet past are inadequate to the stormy present. The occasion is piled high with difficulty, and we must rise with the occasion. I love that	যে সব মতবাদ শান্ত অতীতের জন্য প্রযোজ্য, তা অস্থির বর্তমানের জন্য যথেষ্ট নয়। সময়টা সমস্যায় পাহাড়ে ভরে উঠেছে, আর আমাদের সেই সময়ের সাথে সাথে উঠে দাঁড়াতে হবে। আমার দারুণ লেগেছে। সময়ের বিরুদ্ধে দাঁড়ানো নয়, সময়ের সাথে দাঁড়ানো
302	Thank you for being the breadwinner, so I can stay home with the kids, but won't ask. I know a woman who's good at this. She, once a week, meets with her husband and says	উপার্জন করার জন্য ধন্যবাদ, এর জন্যই আমি বাড়িতে বাচ্চাদের সাথে সময় কাটাতে পারছি। কিন্তু উনি জিজ্ঞাসা করবেন না। আমি একজন মহিলাকে চিনি যিনি এই ব্যাপারে যথেষ্ট ভাল। উনি সপ্তাহে একবার স্বামীর সাথে দেখা করেন এবং বলেন
303	This is all part of a strange attempt to reconcile the Catholic religion with the pagan gods of antiquity earnest treatises are devoted to astrology, and a full-scale cult of Venus develops	এ সময়টাই আসলে খ্রীষ্টধর্ম ও পৌত্তলিক দেবদেবীদের মধ্যে পূণর্মিলনের / মিমাংসার অদ্ভুত প্রয়াসের যা জ্যোতিষশাস্ত্রের জটিল প্রক্রিয়ার প্রতি মানুষকে আকৃষ্ট করে এবং রতিদেবী / প্রেমদেবীর পূজাঅর্চনা শুরু হয়৷
304	Part 3 : The double life of Venus	তৃতীয় ভাগ : রতিদেবী / প্রেমদেবীর দ্বৈত সত্ত্বা
305	"Aaron came from a family of three brothers, all extraordinarily bright. ""Oh the box is tipping over"" [Boys screaming] So, we were all, you know, not the best behaved children"	দেখ বাক্শটা পরে যাচ্ছে [ বাচ্চারা কোলাহল করছে ] আমরা খুব শান্ত ছেলে ছিলাম না, দুষটু ছিলাম্ আমরা তিনজন খুব দৌরাদৌরি করতাম , কাজেই অসুবিধার স্রিসটি করতাম্
306	Hi, I'm Betty, and I work on Google's Search Quality team	হাই, আমি বেটি এবং আমি গুগল এর সার্চ কেয়ালিটি টিমে কাজ করি
307	How did you get to be a dancer? It was interesting. When she was at school, she was really hopeless	জিলিয়ান, তুমি নৃত্যশিল্পী কিভাবে হলে? সে বলল এটা খুব মজার; ও যখন স্কুলে ছিল, ও সত্যিই খুব হতাশ ছিল। স্কুলটা ত্রিশের দশকে ওর অভিভাবকের কাছে লিখেছিল
308	Male narrator] --a favorite, a robotic car. I wish to know whether it is partially observable, stochastic, continuous, or adversarial. That is, is the problem of driving robotically-- say, in a city--subject to any of those 4 categories	এবার আমার প্রিয় জিনিস - রোবট গাড়ি আমরা জানতে চাই এটা আংশিক প্রতীয়মান, অনিরুপনযোগ্য, অবিচ্ছিন্ন অথবা বৈরী কিনা মানে গাড়িটাকে নিয়ে যদি আমরা কোনো শহরের রাস্তায় চালাতে চাই তাহলে এই ৪টা অবস্থার কোন কোনটার সম্মুখীন হতে হবে? প্রযোজ্য সবগুলো ঘরে টিক দিন
309	Well, you can't just stop, because then how do I move the bar forward, how do I make the progress? It just seduces them into doing more effort. They start doing the effort, they start taking responsibility for their own education	"আসলে, তুমি থামতে পারবে না, কারণ তাহলে কিভাবে তুমি এটিতে অগ্রগতি করবে?"" ফলে তাদের অতিরিক্ত পড়াশুনা করতে হয় না। তারা স্বচ্ছন্দে পড়াশুনা শুরু করে, নিজের পড়াশুনার দায়িত্ব নিজেই নিতে পারে"
310	I see not just a cloud, but understand that what I have the privilege to witness is the same forces, the same process in a small-scale version that helped to create our galaxy, our solar system, our sun and even this very planet	বরং আমার যা দেখার সৌভাগ্য হয় তা হচ্ছে সেই একই শক্তি, সেই একই প্রক্রিয়া যার মাধ্যমে
311	Video) Teacher: You can't catch me. You say it	ভিডিও) শিক্ষক: তোমরা আমাকে ধরতে পারবে না তোমরা বলো তোমরা আমাকে ধরতে পারবে না শিশুরা: তোমরা আমাকে ধরতে পারবে না শিক্ষক: আমি হচ্ছি আদারুটি মানব শিশুরা: আমি হচ্ছি আদারুটি মানব শিক্ষক: ভালো করেছ তোমরা, খুব ভালো
312	Yes ma'am, what you want? It was so good to hear	জ্বী ম্যাম, আপনি কি খাবেন? এটা শুনতে আমার অনেক ভাল লাগতো
313	Mothers who have just given birth are presented with decorated trays, on which the sovereign goddess is shown holding men in thrall, as if hypnotised	সদ্যজাত শিশুদের মায়েদের কারুকার্যকরা ট্রে উপহার দেওয়া শুরু হয় যেখানে দেবীরা পুরুষদের উপর প্রভুত্ব বিস্তার করেছে ( ট্রেগুলিতে আঁকা চিত্র ), ও যেখানে পুরুষেরা যেন সম্মোহিত হয়ে আছেন৷
314	Come in, for there is no room in this house for two I's	"ভিতরে আসুন,এ ঘরের কক্ষে দুটি আমি""র স্থান নেই"
315	"But I dont know how to do it yet, which is exciting, Because if I already knew how to do it, that'd be kind of depressing [laughs] [sings ""I live my life on"	"কিন্তু এখনও জানিনা কিভাবে তা করতে হয়, যা কিনা আমার কাছে উত্তেজনার কারণ, কিভাবে করতে হয় তা যদি জানাই থাকত তাহলে ব্যাপারটা কিছুটা বিষণ্ণতার কারণ হত [হাসি] [গান গায় ""আই লীভ মাই লাইফ অন"
316	Hey guys, I have a box that's two by three and a half? And the cool kids would be like	দেখ বন্ধুরা, আমার কাছে একটা বাক্স আছে যা দুই বা তিন ও তিনের অর্ধেক আর তখন জোশ পোলাপানগুলো বলত
317	WlLD CHEERlNG clapping laughter) - And look It has an about face! - Look it's so cute - Oh, that was pretty	বিপুল হর্ষধ্বনি তালি হাসি) - দেখুন অনেকটা মুখমন্ডলের মত! দেখুন এটা কি সুন্দর - ওহ, এটা চমৎকার
318	I am insecure. And I'm insecure because I have to think about what I look like every day. And if you ever are wondering	আমি নিরাপদবোধ করিনা। আমি নিরাপদবোধ করিনা কারণ আমাকে প্রত্যহ ভাবতে হয় আমাকে কেমন দেখাচ্ছে। আর আপনারা যদি কখনো ভেবে থাকেন যে
319	And that's an asset because businesses owe them something. And what's going to happens-- as soon as there's a panic, everyone wants their money out	এবং এগুল সম্পদ কারন বাবসা গুল তাদের কাছে দেনা আতঙ্ক হলে কি হতে পারে? সবাই তাদের টাকা ফেরত চাইবে সঞ্ছিতি নিঃশেষ হয়ে যাবে
320	And I guess the label for that is the zero product property of multiplication. Anyway, see you in the next video	এবং আমি অনুমান লেবেল যে জন্য শূন্য গুণ পদ্ধতি এর গুণ যাইহোক পরের ভিডিওতে আপনি দেখুন
321	hums and whistles] Come here [whistles] The enthusiasm when she comes is amazing [laughs	গুনগুন করা শিস্‌ দেওয়া] এখানে এসো [গুনগুন করা শিস্‌ দেওয়া] ও যা উৎসাহ নিয়ে আসে তা আশ্চর্য[হাসি
322	SPEAKER 1: I'm here with Professor Laurence Baker who's a professor here at Stanford Medical School, and what are we going to talk about	আমার সাথে আছেন অধ্যাপক লরেন্স বেইকার। তিনি স্ট্যানফোর্ড মেডিকেল কলেজের অধ্যাপক
323	"Laughter) And then it crosses my mind, ""But I'm a very busy woman"	"হাসি) তারপরেই আমার মাথায় আসল যে, ""কিন্তু আমি খুবই ব্যস্ত একটা মহিলা"
324	Welcome to the presentation on BASlC ADDlTION. I know what you're thinking	মৌলিক যোগ শেখার এই উপস্থাপনায় সবাইকে স্বাগতম :) আমি জানি তোমরা কি ভাবছ
325	we're used to seeing things from a particular point of view that is from a particular frame of reference and things look different to us under different circumstances at the moment	আমরা একটি নির্দিষ্ট বিন্দু থেকে জিনিষ দেখা ব্যবহার করছেন যে একটি নির্দিষ্ট রেফারেন্স ফ্রেম থেকে এবং জিনিষ আমাদের চেহারা বিভিন্ন অধীন বিভিন্ন পরিস্থিতিতে এই মুহুর্তে
326	All praise the uh the mighty ones that created tremendous pile of people working really hard this week to do the impossible	সকল প্রসংশা খোদার যিনি এমন কিছু অসাধারণ লোক তৈরি করেছেন যারা এই সপ্তাহ জুড়ে কঠোর পরিশ্রম করেছেন অসম্ভবকে সম্ভব করতে। মাইকেল টয় একটি জাদু পংক্তি আবিষ্কার করেছেন
327	I noticed that this would have been this is something that we've never really seen before	আমি জানি তোমরা কখন এই ব্যাপারটি দেখনি। আমি জানি তোমরা কখন এই ব্যাপারটি দেখনি
328	Always treat all others as you'd like to be treated yourself. And equally important is the negative version	অন্যদের সঙ্গে এমন আচরণ কর, যেমনটা তুমি নিজের ক্ষেত্রে প্রত্যাশা কর। আর সমানভাবে গুরুত্বপূর্ণ এটার নেতিবাচক রুপটাও
329	It's a real part of my life--it's a real way for me to work things out, outside of just the actual painting. [sound of spray can	এটা আমার জীবনের একটা আসল অঙ্গ -- আমার কাছে এটা একটা সত্যিকারের উপায় কোন কিছুর সমাধান করার, কেবলমাত্র ছবি আঁকা ছাড়া। [স্প্রে ক্যানের শব্দ
330	A teacher that can be replaced by a machine should be. (Laughter) The second thing he said was that	কোন মেশিন যদি কোন শিক্ষকের বিকল্প হয়ে উঠতে পারে, তবে তাই হওয়াই উচিত। (হাসি) ওঁর বলা দ্বিতীয় কথাটি ছিল
331	When they live in groups, the slightest danger scatters them. The battle for life	কিন্তু সেখানে সংহতি নজরে পড়েনা। যুথচর প্রাণীরা সামান্য বিপদেও বিভক্ত হয়ে পড়ে
332	I think what's fun for me is watching my students get excited about math. because I'm a math nerd. My students, at the beginning, were like	আমার মনে হয় সবচেয়ে মজার বিষয় হল শিক্ষার্থীদের গণিতে উৎসাহী দেখা। কারণ আমি একজন গণিতবিদ। আমার শিক্ষার্থীরা, প্রথমে বলতো
333	Which would you choose? Which do you choose? And when	আপনি কোনটা বেছে নেবেন? কোনটা বেছে নেবেন আপনি? আর কখন
334	What is it like to be a model? And I think the answer that they're looking for is	মডেল হওয়ার অনুভূতি কেমন? এবং আমার মনে হয় তারা যে উত্তরটা খোঁজে তা হলো
335	Your cholesterol is what I call Level Orange	আপনার যে পরিমাণ কোলেস্টেরল, তাকে আমি বলি লেভেল কমলা
336	Maybe I'm a little addicted to that. [sound of spray paint	আমি বোধহয় এটার প্রতি একটু আসক্ত। [স্প্রে পেন্টের শব্দ
337	Hey, no, no, no! - Aaron! - What	আরন ! - কি ? কিন্তু আমার এই উপলব্ধি হ্য় যে আরন খুব ছোট ব্য়্স এই শিখে নেয় কি করে শিখতে হ​য়্
338	He's known as Pavlov to me. He's Pavlov at	সে আমার কাছে পাভলভ নাম এ পরিচিত, সে পাভলভ
339	methodically cut bundled bound and carried off in a near-geometrical pattern leads the eye in two directions: towards the village with its houses clustered round the steeple	নিয়মানুযায়ী কাটা আটি করে রাখা বাঁধা এবং পরিবহন করা সবটাই প্রায় এক জ্যামিতিক ছাঁচে এসবই আমাদের দৃষ্টিকে দুটি পথের দিকে নর্দেশ করে: প্রথমত, গ্রামের দিকে যেখানে গীর্জাকে কেন্দ্র করে বসতি গড়ে উঠেছে। এবংঅপরদিকে মানুষের তৈরী পৃথিবী মানবনির্মিত জলাশয়
340	That's 9 stars. And then I add 3 stars to it. So I add 1, 2, 3 stars	নয়-টি তাঁরা হলো, আর এখন আমি তিন-টি তাঁরা যোগ করব আমি এক, দুই, তিন-টি তাঁরা যোগ করলাম এখন যদি আমরা মোট তাঁরা-র সংখ্যা গুনি আপনি বলবেন, আমি বরং এইটা অন্য কোনো রং-এ লিখি - এক, দুই, তিন, চার
341	People want to overthrow the regime God is great, God is great	জনগণ এ শাসনের অবসান চায় আল্লাহ মহান, আল্লাহ মহান
342	A century later, Bruegel turns everything round: the work of the peasants is made to seem monumental and the life of the nobles frivolous and irrelevant	এক শতক পরে, ব্রুগেল সবটাই উল্ল্টেপাল্টে দেন : এবং অভিজাতদের জীবন তুচ্ছ ও অপ্রাসঙ্গিক দেখান
343	My name is Joshua Walters. I'm a performer. (Beatboxing) (Laughter) (Applause	আমার নাম জশুয়া ওয়াল্টার্স। আমি একজন শিল্পী। (বিটবক্সিং - মুখ দিয়ে বাদ্য বাজানো) হাসি হাততালি কিন্তু এই শিল্পী হওয়ার পাশাপাশি, আমাকে সনাক্ত করা হয়েছে বাইপোলার ডিসঅর্ডারে আক্রান্ত একজন হিসেবে
344	The world' is objective, logical, universal, factual, scientific. 'My world' is subjective	"এই দুনিয়াটা বস্তুবাদী, যৌক্তিক, সার্বজনীন, সত্যনির্ভর, বিজ্ঞানসম্মত। আর ""আমার দুনিয়াটা"" মনঃকল্পিত। আবেগপূর্ণ, ব্যক্তিগত। এটা অনুধাবন, ভাবনা, অনুভব, স্বপ্ন। এটা সেই বিশ্বাস ব্যবস্থা, যা আমরা বহন করি। এটা সেই পৌরানিক এলাকা, যেখানে আমরা বাস করি"
345	"That splendid music, the coming-in music, ""The Elephant March"" from ""Aida,"" is the music I've chosen for my funeral. (Laughter"	"এই চমৎকার সঙ্গীতটি, মঞ্চে প্রবেশের সঙ্গীতটি - অপেরা আইদা থেকে ""দি এলিফ্যান্ট মার্চ"" - আমার শেষকৃত্যর জন্য এই সঙ্গীতটাকেই বেছে নিয়েছি আমি -- (হাসি"
346	humming) These four friends are going on a camping trip. They need to bring the right supplies because they're backpacking	হমম (হমম হমম, হমম হমম.. হমম) এই চার বন্ধু বেড়াতে চোলেছে বায়রাথের জিনিস গুলো ঠিক মাত্রায় নিয়ে এসে বাঁধতে হবে দল তি ঠীক ভাভে বানাতে গেলে সমন্বয় করা অত্যন্ত দরকার
347	You can click on Tweets to expand conversations, see pictures, and watch videos	ছবি দেখতে পারেন, এবং ভিডিও উপভোগ করতে পারেন
348	Apparently I must have done it backwards from what you told me, or I don't know what	দৃশ্যত: আমাকে তা থেকে পিছন দিকে এটি সম্পন্ন করতে হবে যেখান থেকে আপনি আমাকে বলেছিলেন অথবা আমি জানি না
349	And the greatest philosophers of the age endow her with virtues: Temperance and decorum charm and splendour	"এবং এই সময়ের সর্বশ্রেষ্ঠ দার্শনিকেরা তাঁকে নানাবিধ গুণাবলী দ্বারা অলংকৃত করেছেন : ""মিতাচার"" ও ""ন্যায়পরায়ণতা"" ""চারুতা"" ও ""দ্যুতি"
350	Welcome to the greatest common divisor or greatest common factor video. So just to be clear, first of all, when someone asks you what's the greatest common divisor of twelve and eight? Or they ask you what's the greatest common factor of twelve and eight	গ, সা, গু শিখতে আপনাকে স্বাগতম অথবা সরল গুনিতক ভিডিও। বুঝিয়ে বলতে, সবার আগে, কেউ যদি তোমাকে জিগেস করে ১২ এবং ৮ এর গ, সা, গু কত? অথবা ১২ এবং ৮ এর সরল গুনিতক কত
351	The Injured and Killed of the city of Jasem Tuesday, May 10th It is 6:30 pm	এরা হচ্ছে 'জাসেম' নগরের আহত ও নিহত বিক্ষোভকারীরা। মঙ্গলবার, মে ১০। এখন সময় সাড়ে ৬টা
352	You look great. Have you had any work done? And you'll have a lifetime supply of good drugs	তোমাকে অনেক ভাল দেখাচ্ছে। তুমি কি কোন কিছু করেছো? এবং আপনি পাবেন ভাল ঔষুধের অসীম যোগান। আপনি প্রতিদ্বন্দিত এবং উদ্বুদ্ধ হবেন, হবেন প্রণোদিত এবং নম্র। আপনার জীবন নতুন এক অর্থ পাবে, পাবে শান্তি, স্বাস্থ্য, প্রশান্তি, সুখবোধ, নির্বাণ। মূল্য
353	arithmetic, geometry, music and astronomy - and three with discourse	পাটিগিত, জ্যামিতি, সঙ্গীত এবং জ্যোির্বিদ্যা- এবং তনটি যুক্ত বক্তৃতার সঙ্গে
354	5% So, what makes us different, from one another	৫% তাহলে কী আমাদের একজন থেকে আরেকজনকে আলাদা করেছে
355	We are on problem 63. The height of a triangle is 4 inches greater than twice its base	আমরা সমস্যাটি 63 হয়. একটি ত্রিভুজ উচ্চতা হল 4 ​​ইঞ্চি অধিক দ্বিগুণ বেস. আমার প্রশ্ন এই ত্রিভুজ যাক
356	I wish I was playing for Preity Zinta's team	ইস, আমি যদি প্রীতি জিনতার দলে খেলতে পারতাম
357	Well can my mom use it? Yeah, my mom can use it. My mom can write optimizing compilers	এটা কি আমার মা ব্যবহার করতে পারবে? হ্যা, আমার মা এটা ব্যবহার করতে পারে। আমার মা কম্পাইলার অপটিমাইজিং লিখতে পারেন
358	Look at this intersection, we've got a bank here, in two years you know this may not be here, why not bank online	আমাদের এখানে একটি ব্যাংক আছে, আগামি দুই বছরে এটি এখানে নাও থাকতে পারে, অনলাইন ব্যাংকিং কেন নয়
359	In theory, the proportions of the whole are determined by the distance between the breasts, but here the rule is loosely applied and the proportional distances are variable. Classical stability has gone too: instead, we get an improbable disequilibrium. Is Venus concealing her real origins	এখানে এই তত্ত্বটি বোট্টিসেলি তাঁর রতিদেবী / প্রেমদেবীর ক্ষেত্রে খুব শিথিলভাবে ব্যাবহার করেছেন এবং এখানে আনুপাতিক দূরত্বের অবিরাম হ্রাসবৃদ্ধি ঘটিয়েছেন আর যদি চিরাচরিত স্থিতিশীলতার কথা ভাবি তাহলে এক্ষেত্রে অভাবনীয় ভারসাম্যহীনতার প্রাধান্য দৃষ্টি আকর্ষণ করে৷ রতিদেবী / প্রেমদেবী কি তাঁর মূল সত্যগুলি আমাদের থেকে লুকিয়ে রাখবেন
360	Do you remember the story? (Laughter) No, it was big, it was a big story	"হাসি) না! কাহিনিটা বেশ বড়। মেল গিবসন ওটার সিকুয়াল নির্মাণ করেছেন। আপনারা হয়তো দেখেছেন: ""ন্যাটিভিটি টু।"" কিন্তু জোসেফের চরিত্রটা পেল জেমস, সেটা নিয়ে আমরা খুব শিহরিত ছিলাম। আমরা সেটাকে অন্যতম প্রধান চরিত্র বলে ভেবেছিলাম। পুরো জায়গাটা দর্শকে ঠাসাঠাসি হয়ে গিয়েছিল, টিশার্টে লেখা ছিলঃ"
361	"the resulting scenes become farcical, while rolling eyes, and swivelling hips constantly remind us that these ""sexless"" nudes are seething cauldrons of repressed sensuality, likely to boil over from one moment to the next"	"চিত্রের দৃশ্যগুলি প্রকৃতপক্ষে হাস্যকর ঠেকে, ঘূর্ণায়মান চোখ, নিতম্বের উত্তোলিত অবস্থান, সর্বদা স্মরণ করায় যে এই "" যৌন ঈঙ্গীতহীন "" নগ্নরা হল দমে থাকা সেন্সুয়ালিটি থেকে ফেটে বেরোবার জন্য প্রস্তুত , ঠিক যেন বিস্ফোরণের জন্য প্রস্তুত প্রেসার কুকার"
362	We want to take the old free tree and use it as subsection, and we want to build this interesting tree around this	আমরা পুরাতন মুক্ত বৃক্ষটি নিতে চাই এবং উপধারা হিসাবে এটিকে ব্যবহার করতে চাই, এবং আমরা এরই চারপাশে এই আকর্ষণীয় বৃক্ষটিকে গড়ে তুলতে চাই
363	We want to know the probability of getting here because we got heads on the first trial, heads in the second	আমরা জানতে চাই এখানে পৌছাবার প্রবাবিলিটি কতো কারন আমরা প্রথম ট্রায়ালে হেডস পেয়েছি, আর দ্বিতীয় টিতে আবারো হেডস
364	whistles] This is going to be exciting, to have-- This new big surface	গুনগুন করা শিস্‌ দেওয়া] এটা বেশ উত্তেজনাপূর্ণ, এই নতুন বড় পৃষ্ঠতলটি পাওয়া। [গুনগুন করা শিস্‌ দেওয়া
365	Mr. Gates, we have here as our goal in Saudi Arabia to be one of the top 10 countries when it comes to technology. Do you think we'll make it? So Bill Gates, as he was staring out at the audience, he said	মিস্টার গেটস, আমাদের এখানে সৌদি আরবে আমাদের লক্ষ্য হল পৃথিবীর শীর্ষ ১০টি দেশের মধ্যে একটি হওয়া প্রযুক্তির ক্ষেত্রে। আপনি কি মনে করেন আমরা এটা করতে পারব? বিল গেটস শ্রোতাদের দিকে তাকিয়ে থেকে বললেন
366	It's actually going really well. I didn't think we'd actually get somebody to build this quickly. We had to do one small adjustment and it worked	এটা আসলে ভালোভাবেই চলেছে। আমার মনে হয় না এখনই কাউকে এটা দ্রুত বিল্ড করতে দেওয়া উচিত। এটাকে কাজ করাতে আমাদের আরও একটি ছোট্ট সমন্বয়ের প্রয়োজন
367	Ultimately, his naked goddess is not classical, but gothic - the hair is long the body is longer the muscles have gone and the hips are broader the breasts are smaller	সবশেষে, বোট্টিসেলির নগ্ন দেবী অ্যান্টিক / প্রাচীন নন, তিনি গথিক : - দীর্ঘ কেশরাশি - অপেক্ষাকৃত দীর্ঘ দেহ - পেশীর বদলে প্রাধান্য দেওয়া হয়েছে অপেক্ষাকৃত চওড়া নিতম্ব
368	It's too good to be true, which was not very nice. Well, one of the girls had taught herself to become the teacher. And then that's her over there	এইটা এত ভালো যে সতি‍্য মনে হয় না, ওই কথাটা খুব একটা সুবিধার ছিল না যাই হোক, এর মধে‍্য একটা মেয়ে নিজে নিজে শিখেছিল কি করে একজন শিক্ষিকা হওয়া যায় আর তারপর এই যে ওখানে ওই মেয়েটা
369	Thanks to using the docs, I was able to do what I wanted much faster. And that's a goal of programming - turn our ideas into reality faster	নথিপত্রের ব্যবহারকে ধন্যবাদ, আমি যা করতে চেয়েছিলাম তা খুব দ্রুত করতে পেরেছি। আর এটাই হচ্ছে প্রোগ্রামিং এর লক্ষ্য- ধারণাকে দ্রুত বাস্তবে রূপান্তরিত করা। নথিপত্রের ক্ষমতা ব্যবহার করার কথা মনে রেখো
370	The wind-blown dress which clings suggestively to the Hora's body	বাতাসে উড়তে থাকা হোরার পোষাক যা ইঙ্গীতপূর্ণভাবে তাঁর শরীরে জড়িয়ে রয়েছে
371	in terms of scale and how to make large marks and how to take a small drawing and make it large. I mean, that's totally invaluable, the skill set. Not bad	স্কেলের ক্ষেত্রে এবং কিভাবে বড় চিহ্ন করা যায় এবং কি ভাবে একটি ছোট আঁকা নিয়ে তাকে বড় করা যায়। আমি বলতে চাইছি, এই দক্ষতাগুলি সত্যি অমুল্য। খারাপ নয়। [স্প্রে ক্যানের শব্দ
372	Eddie Martinez Whistles While He Works [sound of electric sander against canvas] Eddie Martinez--Artist	এডি মার্টিনেজ কাজ করার সময় শিস দেয় [ক্যানভাসের ওপর বৈদ্যুতিক স্যান্ডারের শব্দ] এডি মার্টিনেজ - শিল্পী
373	"The picture itself packs a powerfully sensual punch: The improbably entwined legs of the ""lascivious zephyrs"	এই চিত্রটি নিজেই অত্যন্ত যৌন / কামুক প্রভাববিস্তারকারী : - কামার্ত জেফিরের অকল্পনীয়ভাবে জড়ান পা
374	Look I've received all these benefits from a deck stacked in my favor, and it also felt really uncomfortable to follow that up with	দেখ,আমি এত সুবিধা পেয়েছি কারণ সবই আমার পক্ষে ছিল, তবে এর সাথে আমার এটা বলতেও খারাপ লাগবে যে
375	It's sort of like a boxing ring in here--it's a very physical process. [sound of spray paint	এই ব্যাপারটা অনেকটা বক্সিং রিঙের মত -- এটা একটা বড় ধরনের শারীরিক প্রক্রিয়া। [স্প্রে পেন্টের শব্দ
376	"And I think to myself, ""Oh my gosh, he sounds like a Golden Retriever!"" (Laughter"	ওহ! ঈশ্বর! তাকে একটা সোনালী শিকারী কুকুরের মতো শোনাচ্ছে! আর তারপর আমি তাকে বললাম আমার স্পষ্ট মনে আছে। আমি বললাম
377	Finally, Venus differs from her model: her neck and face are longer her shoulders less broad her stomach rounder and she violates the sacrosanct principles of classical proportion	স্কন্ধ অপেক্ষাকৃত কম চওড়া - উদর তুলনামূলকভাবে অধিক গোল এবং এই নারী চিরাচরিত অনুপাতের অলঙ্ঘনীয় নীতিকে মানেন না : - দেহের আনুপূর্বিক অনুপাতের তত্ত্ব অনুযায়ী এই অনুপাত নির্ভর করে দুটি স্তনের দূরত্ত্বর উপর
378	I do have to trick myself into getting through parts of a painting. [dog barking	আঁকার কিছু অংশ সম্পূর্ণ করতে আমি নিজেই নিজেকে ঠকাতে বাধ্য হই। [কুকুরের ডাক
379	An Indian film star hugging a Pakistani cricketer because they'd won in Kolkata. Can you imagine? And do you know what the Pakistani cricketer said	একজন ভারতীয় চলচ্চিত্র অভিনেতা একজন পাকিস্তানি খেলোয়াড়কে আলিঙ্গন করছে কারণ তারা কলকাতায় জয়লাভ করেছে। আপনি কি ভাবতে পারেন? এবং আপনি কি জানেন পাকিস্তানি ক্রিকেটার কি বলেছিল
380	Let's just -- Well, two green lemons -- or two more tart pieces of fruit How many-- how much tart, sour fruit do I have now	আমরা দুটো লেবু অথবা ফলের টুকরো যোগ করি আমাদের এখন কয়টি লেবু বা ফল-এর টুকরো আছে
381	Syrian Protest May 2011 Beginning of Protest With spirit and bloodWe give our lives for you Darea	সিরীয় বিক্ষোভ, মে ২০১১ বিক্ষোভের শুরু আত্মা ও রক্ত দিয়ে আমরা আপনার জন্য আমাদের জীবন দিব দারিয়া
382	Either I'm braindead or it takes lot of effort to communicate and so I'm concerned that while you all know what it means, I'm not confident that it's coming across to the press	হয় আমি মৃত মস্তিষ্কধারী বা এটা যোগাযোগ করতে অনেক প্রচেষ্টার দরকার এবং তাই আমি জ্ঞাত যে যখন তুমি সবই জানো মানে, আমি নিশ্চিত নই যে এটা সংবাদ মাধ্যমে আসছে
383	And imagine what it would feel like to lose 37 years of emotional baggage! (Laughter) Oh! I felt euphoria -- euphoria	হাসি)। আমি খুবই ফুর্তিতে ছিলাম -- স্ফুর্তি। এটা খুবই সুন্দর একটা অনুভূতি ছিল আর তারপর আবার আমার বাম মস্তিস্ক অনলাইনে চলে আসল আর বলল
384	A question easily answered, one might think: since this picture belongs to a series painted by one city-dweller for another - a rich Antwerp merchant	উত্তরটা আপাতদৃষ্টিতে সহজ মনে হয়: এই চিত্রটি একটি সিরীজের অন্তর্গত যেটি একজন নগরবাসী অপরজনের জন্য এঁকেছে- এক ধনী এন্টওয়ার্প ব্যবসায়ী
385	Imagine Alice traveled back over 50,000 years to find her distant ancestor, Bob	এলিস ভ্রমণ ভাবুন ফিরে উপর 50,000 বছর তার দূরবর্তী পূর্বপুরুষ, বব খুঁজে
386	I now have 12 stars. So, you would say that 9 + 3 = 12. It's equal to 12	আমার এখন বারো-টি তাঁরা আছে সুতরাং আপনি বলতে পারেন নয়-এর সাথে তিন যোগ করলে আমরা বারো পাই আপনি যদি সংখ্যারেখা-এর দিকে তাকান, এবং নয়-তে শুরু করেন, হয়ত আপনার নয়-টি তাঁরা আছে এবং আপনি তার সাথে যোগ করেন একটি তাঁরা, দুইটি
387	send a telegraph, or an email. But how are these things different? And more importantly, why are they the same	একটা টেলিগ্রাফ পাঠাতে পারত, বা একটা ইমেইল ও হতে পারত। কিন্তু কিভাবে এগুলো সবগুলোই আলাদা? এবং গুরুত্বপূর্ণ ব্যাপারটা হল কেন এগুলো একই হবে
