id	en	fa
180	The unbelievers must not think that the respite We give them augurs well. We do so that they sink deeper into sin, and suffer an ignominious doom	و کسانی که کافر شدند، گمان نکنند مهلتی که به آنان می دهیم به سودشان خواهد بود، جز این نیست که مهلتشان می دهیم تا بر گناه خود بیفزایند، و برای آنان عذابی خوار کننده است
181	There is not a sum, large or small, that they spend, not a piece of land that they traverse (in the service of God) which is not put down in their favour, so that God could reward them for what they had done	و هیچ مال کوچک و بزرگی را هزینه نمی کنند و هیچ سرزمینی را [برای نبرد با دشمن یا انجام کار خیری] نمی پیمایند مگر آنکه در پرونده اعمالشان ثبت می شود، تا خدا به آنان [نسبت به همه اعمالشان] با معیار گرفتن بهترین عملی که همواره انجام می دادند، پاداش دهد
182	But We saved him and his family, except for his wife who was one of those who stayed behind	پس او و اهلش را نجات دادیم مگر همسرش که از باقی ماندگان [در میان کافران] بود
183	"But Pharaoh said: ""You have come to accept belief in Him without my permission! This surely is a plot you have hatched to expel the people from the land. You will soon come to know"	فرعون گفت: آیا پیش از آنکه من به شما اجازه دهم به او ایمان آوردید؟! مسلماً این توطئه و نیرنگی است که [شما و موسی] در این شهر برپا کرده اید تا مردمش را از آن بیرون کنید، ولی به زودی خواهید دانست
184	And make us submit, O Lord, to Your will, and our progeny a people submissive to You. Teach us the way of worship and forgive our trespasses, for You are compassionate and merciful	پروردگارا! ما را [با همه وجود] تسلیم خود قرار ده، و نیز از دودمان ما امتی که تسلیم تو باشند پدید آر، و راه و رسم عبادتمان را به ما نشان ده، و توبه ما را بپذیر، که تو بسیار توبه پذیر و مهربانی،
185	He who does evil or acts against his own interests (by disbelieving), then prays for God's forgiveness, will find God compassionate and merciful	و هر کس کار زشتی کند یا برخود ستم ورزد، سپس از خدا آمرزش بخواهد، خدا را بسیار آمرزنده و مهربان خواهد یافت
186	Think not that God would go back on His promise (made) to the apostles. Indeed God is mighty, the Lord of retribution	پس مپندار که خدا در وعده اش با پیامبرانش وفا نمی کند؛ زیرا خدا توانای شکست ناپذیر و صاحب انتقام است
187	"Then he ordered his servants: ""Put their money back in their packs: They may find it on reaching home, and perhaps come again"	و [یوسف] به کارگزاران و گماشتگانش گفت: اموالشان را [که در برابر دریافت آذوقه پرداختند] در بارهایشان بگذارید، امید است وقتی به خاندان خود برگشتند آن را بشناسند، باشد که دوباره برگردند
188	Or He may seize them by diminishing their portion. Yet your Lord is compassionate and kind	یا [ایمنند از اینکه] آنان را بر [پایه] ترس و بیم [و هشدارهای پی در پی به عذاب] بگیردشان؟ یقیناً پروردگارتان رؤوف و بسیار مهربان است
189	Lawful is all game of the water for you, and eating of it as food, so that you and the travellers may benefit by it. But unlawful is game of the jungle when you are on pilgrimage. Fear God before whom you have to gather in the end	برای بهره مند شدن شما و کاروانیان، شکار کردن از دریا و خوراکی آن [در حال احرام] بر شما حلال شد. و شکار صحرا و بیابان تا زمانی که مُحرم هستید، بر شما حرام است. و از خدایی که به سوی او گردآوری می شوید، پروا کنید
190	Will you believe it when it comes to pass? Indeed, you will believe it then. How impatient you were to hasten it	سپس آیا هنگامی که عذاب فرا می رسد به درستی و حق بودنش ایمان می آورید؟ [در لحظه فرا رسیدن عذاب به شما گفته می شود:] حالا و ایمان؟! [این همان عذابی است] که همواره به رسیدن آن شتاب ورزیدید
191	Who are miserly and bid others to be so, and hide what God has given them in His largesse. We have prepared for unbelievers a shameful punishment	کسانی که [از انفاق اموالشان در راه خدا] بخل می ورزند، و مردم را به بخل فرمان می دهند، و آنچه را خدا از فضل خود به آنان داده پنهان می کنند، [کافرند] و ما برای کافران عذابی خوارکننده آماده کرده ایم
192	We shall invest whosoever works for good, whether man or woman, with a pleasant life, and reward them in accordance with the best of what they have done	از مرد و زن، هر کس کار شایسته انجام دهد در حالی که مؤمن است، مسلماً او را به زندگی پاک و پاکیزه ای زنده می داریم و پاداششان را بر پایه بهترین عملی که همواره انجام می داده اند، می دهیم
193	And do not be grieved by those who rush into disbelief. They do no harm to God; and God will not give them any share in the life to come, and their torment shall be great	و مبادا آنان که در کفر می شتابند، تو را اندوهگین کنند، آنان هرگز به خدا هیچ زیانی نمی رسانند، خدا می خواهد [به سزای کفرشان] هیچ بهره ای در آخرت برای آنان قرار ندهد، و برای آنان عذابی بزرگ است
194	Neither was Abraham a Jew nor a Christian, but upright and obedient, and not an idolater	ابراهیم نه یهودی بود و نه نصرانی، بلکه یکتاپرست و حق گرایی تسلیم بود، و از مشرکان نبود
195	Whatsoever you give away in alms or vow as offering, is all known to God; but the wicked will have none to help them	و هر نفقه ای که انفاق کردید و هر نذری را که برعهده گرفتید، یقیناً خدا آن را می داند، [در نتیجه فرمانبر را پاداش می دهد و ستمکار به آیات خدا و حقوق مردم را عذاب می کند] و برای ستمکاران در قیامت یاوری نیست
196	"Remember the day We made the covenant with you and exalted you on the Mount and said: ""Hold fast to what We have given you, and remember what is therein that you may take heed"	و [یاد کنید] هنگامی که از شما [بر پیروی از حق] پیمان گرفتیم، و کوه طور را بالای سرتان برافراشتیم، [و گفتیم:] آنچه را [از آیات کتاب آسمانی] به شما داده ایم، با قدرت و قوّت دریافت کنید، و آنچه را در آن است [برای اجرا کردن] به یاد داشته باشید تا پرهیزکار شوید
197	If you count the favours of God you will not be able to calculate. Assuredly God is forgiving and kind	و اگر نعمت های خدا را شماره کنید، هرگز نمی توانید آنها را به شمار آورید؛ یقیناً خدا بسیار آمرزنده و مهربان است
198	Yet they worship those apart from God who cannot provide for them any sustenance from the heavens or the earth, nor will they have power to do so	و به جای خدا معبودانی را می پرستند که از آسمان ها و زمین، مالک اندک رزقی برای آنان نیستند و هیچ قدرتی هم [برای مالک شدن روزی و رساندنش به آنان] ندارند
199	"You know and have known already those among you who had broken the sanctity of the Sabbath, and to whom We had said: ""Become (like) apes despised"	بی تردید شما [سرگذشتِ کسانی از هم مسلکان خود را] که در روز شنبه [از فرمان خدا که صید ماهی را حرام کرده بود] عصیان ورزیدند دانستید که [به کیفر عصیانشان] به آنان نهیب زدیم که به صورت بوزینگانی خوار و رانده شده درآیید
200	O believers, fasting is enjoined on you as it was on those before you, so that you might become righteous	ای اهل ایمان! روزه بر شما مقرّر و لازم شده، همان گونه که بر پیشینیان شما مقرّر و لازم شد، تا پرهیزکار شوید
201	"They said: ""We shall request his father, and will certainly do that"	گفتند: می کوشیم رضایت پدرش را به آوردن او جلب کنیم، و یقیناً این کار را انجام خواهیم داد
202	Who obstruct others from the way of God and seek obliquity in it, and do not believe in the life to come	آنان که مردم را از راه خدا باز می دارند و می خواهند آن را [با وسوسه و اغواگری] کج نشان دهند و به آخرت کافرند
203	"Joseph) answered: ""I will give you its interpretation before the food you are served arrives. This knowledge is one of the things my Lord has taught me. I have given up the religion of those who do not believe in God and deny the life to come"	گفت: هیچ جیره غذایی برای شما نمی آید مگر آنکه من شما را پیش از آمدنش از تعبیر آن خواب آگاه می کنم، این از حقایقی است که خدا به من آموخته است؛ زیرا من آیین مردمی را که به خدا ایمان ندارند و به سرای آخرت کافرند، رها کرده ام
204	"They said: ""You know we have no need for your daughters, and know well what we want"	گفتند: مسلماً دانسته ای که ما را به دخترانت هیچ حاجت و نیازی نیست و خوب می دانی که ما چه می خواهیم
205	Then We saved him and those on his side by Our grace, and destroyed to the very last those who rejected Our signs and denied the truth	پس [هنگام نزول عذاب] او و کسانی را که همراهش بودند به رحمتی از سوی خود نجات دادیم و بنیاد آنان که آیات ما را تکذیب کردند و مؤمن نبودند، برکندیم
206	And do not be one of those who deny the signs of God, or you will be among the losers	و هرگز از کسانی مباش که آیات ما را تکذیب کردند که از زیانکاران خواهی شد
207	And We rained down on them a shower (of Stones). So witness the end of sinners	و بر آنان بارشی [بی نظیر از سنگ های آتشین] باراندیم، پس با تأمل بنگر که سرانجام گنهکاران چگونه بود؟
208	Who obstruct those who follow the path of God and try to make it oblique, who do not believe in the life to come	هم آنان که مردم را همواره از راه خدا بازمی دارند و می خواهند آن را [با وسوسه و اغواگری] کج نشان دهند، و ایشان به روز قیامت کافرند
209	They can) move about for four months freely in the land, but should know they cannot escape (the law of) God, and that God can put the unbelievers to shame	بنابراین، چهار ماه حرام را [در کمال آزادی و امنیت] در زمین گردش کنید و بدانید که شما عاجز کننده خدا نیستید [تا بتوانید از دسترس قدرت او بیرون روید] و خدا خوار کننده کافران است
210	Discard both the visible and invisible sin. For those who sin will be punished for what they have done	گناه آشکار و پنهان را رها کنید؛ قطعاً کسانی که مرتکب گناه می شوند به زودی در برابر آنچه همواره مرتکب می شدند، مجازات خواهند شد
211	You should not be grieved by what they say. All glory is wholly for God: He is the one who hears and knows everything	و گفتار [بی اساس و تبلیغاتِ ناروایِ] مخالفان، تو را غمگین نکند؛ زیرا همه عزت و توانمندی برای خداست؛ او شنوا و داناست
212	But there are others who admit their sins of mixing good deeds with evil. It may be that God will accept their repentance, for God is forgiving and kind	و دیگرانی هستند که به گناهانشان اعتراف کردند، [و] اعمال شایسته را با اعمال بد درآمیختند، امید است خدا توبه آنان را بپذیرد زیرا خدا بسیار آمرزنده و مهربان است
213	When you travel in the land there is no sin if you curtail your service of prayer if you fear the unbelievers may harass you, for indeed your open enemies are the infidels	و هنگامی که در روی زمین سفر می کنید، اگر بترسید که کافران به شما آسیب و آزار رسانند، بر شما گناهی نیست که از نمازها [یِ چهار رکعتی خود، دو رکعت] بکاهید؛ زیرا کافران همواره برای شما دشمنی آشکارند
214	"They were only confused dreams, they said; ""we do not know how to interpret them"	گفتند: [این] خواب هایی پریشان و آشفته است و ما به تعبیر خواب های پریشان و آشفته دانا نیستیم
215	Except those idolaters with whom you have a treaty, who have not failed you in the least, nor helped anyone against you. Fulfil your obligations to them during the term (of the treaty). God loves those who take heed for themselves	مگر کسانی از مشرکان که با آنان پیمان بستید، سپس چیزی [از شرایط پیمان را] نسبت به شما نکاستند و احدی [از دشمنان را] بر ضد شما یاری نکردند، پس به پیمانشان تا پایان مدتشان وفادار باشید؛ زیرا خدا پرهیزکاران را دوست دارد
216	Then how can you disbelieve in God? He gave you life when you were dead. He will make you die again then bring you back to life: To Him then you will return	چگونه به خدا کفر می ورزید در حالی که [پیش از دمیده شدن روح به کالبدتان ترکیبی از عناصر] مرده بودید، پس شما را حیات بخشید، سپس شما را می میراند، آن گاه دوباره زنده می کند، سپس به سوی او بازگردانده می شوید
217	Enquire from the people of that city, or ask the men of the caravan with whom we have come. We are verily speaking the truth	حقیقت را از شهری که در آن بودیم [و در و دیوارش گواه است] و از کاروانی که با آن آمدیم بپرس؛ و یقیناً ما راستگوییم
218	They will offer submission to God that Day, and the lies they fabricated will not be of the least avail	و در آن روز همه مشرکان در پیشگاه خدا سر تسلیم فرود آورند و معبودهایی را که همواره به دروغ [به عنوان شریک خدا] بر خدا می بستند [گم شده] از دستشان می رود
219	"Remember when Moses said to his people: ""O my people, remember the favours that God bestowed on you when He appointed apostles from among you, and made you kings and gave you what had never been given to any one in the world"	و [یاد کنید] هنگامی که موسی به قومش گفت: ای قوم من! نعمت خدا را بر خود یاد کنید، آن گاه که در میان شما پیامبرانی قرار داد، و شما را حاکمان و فرمانروایان ساخت، و به شما نعمت های ویژه ای داد که به هیچ یک از جهانیان نداد
220	"When the angels receive the souls of those who are blameless they will say: ""Peace on you. Enter Paradise as recompense for what you did"	آنان در حالی که [از آلودگی های عملی و اخلاقی] پاک و پاکیزه اند، فرشتگانْ جانشان را می گیرند، به آنان می گویند: سلام بر شما، [اکنون] به پاداش آنچه همواره انجام می دادید، به بهشت درآیید
221	"And We sent Lot, who said to his people: ""Why do you commit this lecherous act which none in the world has committed before"	و لوط را [به یاد آورید] هنگامی که به قومش گفت: آیا آن کار بسیار زشت و قبیح را که هیچ کس از جهانیان در آن بر شما پیشی نگرفته است، مرتکب می شوید؟
222	Such things were asked by a people before you, but they disbelieved them afterwards	گروهی از پیشینیان شما از آن احکام و معارف پرسیدند، [چون برای آنان روشن شد، از اجرایش روی گرداندند] سپس به آن کافر شدند
223	ALIF LAM RA. A Book We have sent down to you that you may lead men out of darkness into light, by their Lord's command, to the path of the mighty, the worthy of praise	الر ـ [این] کتابی است که آن را بر تو نازل کردیم تا مردم را به اجازه پروردگارشان از تاریکی ها [یِ جهل، گمراهی و طغیان] به سوی روشناییِ [معرفت، عدالت و ایمان و در حقیقت] به سوی راه [خدایِ] توانای شکست ناپذیر و ستوده بیرون آوری
224	Yet God may turn (even) after this to whomsoever He please, for God is compassionate and kind	سپس خدا بعد از این [گناه بزرگ که فرار از جنگ است] توبه هر کس را که بخواهد می پذیرد؛ و خدا بسیار آمرزنده و مهربان است
225	O believers, do not make friends with those who mock and make a sport of your faith, who were given the Book before you, and with unbelievers; and fear God if you truly believe	ای مؤمنان! کسانی که دین شما را مسخره و بازیچه گرفته اند، چه از اهل کتاب و چه از کافران، سرپرستان و دوستان خود مگیرید؛ و اگر مؤمن هستید از خدا پروا کنید
226	The hypocrites will be in the lowest depths of Hell, and you will find none to help them	بی تردید منافقان در پایین ترین طبقه از آتش اند، و هرگز برای آنان یاوری نخواهی یافت
227	Verily those who fear God think of Him when assailed by the instigations of Satan, and lo! they begin to understand	مسلماً کسانی که [نسبت به گناهان، معاصی و آلودگی های ظاهری وباطنی] تقوا ورزیده اند، هرگاه وسوسه هایی از سوی شیطان به آنان رسد [خدا و قیامت را] یاد کنند، پس بی درنگ بینا شوند [و از دام وسوسه هایش نجات یابند
228	"The caravan departed (from Egypt) and Jacob said (at home): ""Say not that I am in my dotage, but I get the smell of Joseph"	و زمانی که کاروان [از مصر] رهسپار [کنعان] شد، پدرشان گفت: بی تردید، بوی یوسف را می یابم اگر مرا سبک عقل ندانید
229	Accept the offerings they make from their wealth in order to cleanse and purify them for progress, and invoke blessings upon them. Your blessings will surely bring them peace, for God hears all and knows everything	از اموالشان زکاتی دریافت کن که به سبب آن [نفوس و اموالشان را] پاک می کنی، و آنان را رشد و تکامل می دهی؛ و [به هنگام دریافت زکات] بر آنان دعا کن؛ زیرا دعای تو مایه آرامشی برای آنان است؛ و خدا شنوا و داناست
230	The worst of creatures in the eyes of God are those who are deaf and dumb and devoid of sense	قطعاً بدترین جُنبندگان نزد خدا، کرانِ [از شنیدن حق] و لالانِ [از گفتن حق] هستند که [کلام حق را] نمی اندیشند
231	"Say: ""Have you thought of what God has sent you for food, of which you have labelled some as lawful and some forbidden?"" And ask: ""Has God commanded this, or you are imputing lies to God"	بگو: به من خبر دهید که آنچه خدا از رزق و روزی برای شما نازل کرده و شما بخشی از آن را حرام و بخشی را حلال کردید. بگو: آیا خدا این حرام و حلال کردن را به شما اجازه داده یا بر خدا دروغ می بندید؟
232	"Do they say (of the Prophet): ""He has forged (the Qur'an)?"" Say: ""Then bring ten Surahs like it, and call anyone except God to help you, if what you say is true"	بلکه [در برابر همه قرآن می ایستند و] می گویند: او این قرآن را از نزد خود ساخته [و به خدا نسبت می دهد] بگو: اگر راستگویید، شما هم ده سوره مانند آن بیاورید و هر کس را غیر خدا می توانید، به یاری خود دعوت کنید
233	O believers, fear God as He should be feared, and do not die but submitting (to Him	ای اهل ایمان! از خدا آن گونه که شایسته پروای از اوست، پروا کنید، و نمیرید مگر در حالی که [در برابر او و فرمان ها و احکامش] تسلیم باشید
234	"They replied: ""If a wolf should devour him when we are there, a well-knit band, we shall certainly be treacherous"	گفتند: اگر با بودن ما که گروهی نیرومندیم، گرگ او را بخورد، یقیناً ما در این صورت زیانکار و بی مقداریم
235	And yet in spite of having seen these clear proofs they found it proper to incarcerate him for a time	آن گاه آنان پس از آنکه نشانه ها [یِ پاکی و پاکدامنی یوسف] را دیده بودند، عزمشان بر این جزم شد که تا مدتی او را به زندان اندازند
236	O believers, do not hold Jews and Christians as your allies. They are allies of one another; and anyone who makes them his friends is surely one of them; and God does not guide the unjust	ای اهل ایمان! یهود و نصاری را سرپرستان و دوستان خود مگیرید، آنان سرپرستان و دوستان یکدیگرند [و تنها به روابط میان خود وفا دارند]. و هر کس از شما، یهود و نصاری را سرپرست و دوست خود گیرد از زمره آنان است؛ بی تردید خدا گروه ستمکار را هدایت نمی کند
237	Those who denied and turned away from the path of God, have wandered far astray	مسلماً کسانی که کافر شدند و [مردم را] از راه خدا بازداشتند، یقیناً به گمراهی دور و درازی دچار شده اند
238	Do they seek another way than God's? But whosoever is in the heavens and the earth is submissive to God and obedient (to Him), by choice or constraint, and will be returned to Him	آیا [اهل کتاب پس از این همه دلایل روشن] غیر دین خدا را خواستارند؟ در حالی که هر که در آسمان ها وزمین است از روی رغبت یا کراهت در برابر او [و اراده و فرمانش] تسلیم است، وهمه به سوی او بازگردانده می شوند
239	For those who do good there is goodness and more, and no blot or disgrace will cover their faces. They are people of Paradise, where they will abide for ever	برای کسانی که نیکی کردند، [بهترین] پاداش و افزون [بر آن] است؛ و چهره آنان را سیاهی و خواری نمی پوشاند؛ آنان اهل بهشت اند [و] در آن جاودانه اند
240	So, therefore, remember Me, and I shall remember you; and give thanks and do not be ungrateful	پس مرا یاد کنید تا شما را یاد کنم و مرا سپاس گزارید و کفران نعمت نکنید
241	He does not have power over those who believe and place their trust in their Lord	یقیناً او بر کسانی که ایمان آورده اند وهمواره بر پروردگارشان توکل می کنند، تسلّطی ندارد
242	See how they fabricate lies about God, which is a clear sin	با تأمل بنگر چگونه [قوم یهود با ادعای پاکی خویش در پیشگاه حق] بر خدا دروغ می بندند، و همین گناه آشکار [برای خواری و عذاب آنان] کافی است
243	The sinners were seized by a blast from heaven, and lay overturned in their homes in the morning	و کسانی را که ستم کردند، فریاد مرگبار فروگرفت، پس در خانه هایشان به رو درافتاده، جسمی بی جان شدند
244	Grant, O Lord, that I and my offspring may remain constant in devotion. Grant, O Lord, my supplication	پروردگارا! مرا بر پادارنده نماز قرار ده، و نیز از فرزندانم [برپادارندگان نماز قرار ده]. و پروردگارا! دعایم را بپذیر
245	Whether you plead forgiveness for them or not, God will not forgive them, even though you plead seventy times, for they disbelieved in God and His Apostle; and God does not show transgressors the way	برای آنان [که عیب جویان مسخره کننده اند] چه آمرزش بخواهی چه نخواهی [یکسان است] اگر برای آنان هفتاد بار هم آمرزش بخواهی، خدا هرگز آنان را نخواهد آمرزید؛ زیرا آنان به خدا و پیامبرش کفر ورزیدند و خدا گروه فاسقان را هدایت نمی کند
246	Spend in the way of God, and do not seek destruction at your own hands. So do good for God loves those who do good	و در راه خدا انفاق کنید و [با ترک این کار پسندیده، یا هزینه کردن مال در راه نامشروع] خود را به هلاکت نیندازید، ونیکی کنید که یقیناً خدا نیکوکاران را دوست دارد
247	Whatsoever is in the heavens and the earth belongs to Him, and His the judgement for ever. So will you fear any other than God	آنچه در آسمان ها و زمین است، فقط در سیطره مالکیّت و فرمانروایی اوست، و نیز دین ثابت و پایدار مخصوص اوست؛ آیا از غیر او پروا می کنید؟
248	"Joseph) said: ""It was she who wanted to seduce me."" And a witness from her family testified: ""If the shirt is torn from the front then the woman is speaking the truth, and he is a liar"	یوسف گفت: او از من خواستار کام جویی شد. و گواهی از خاندان بانو چنین داوری کرد: اگر پیراهن یوسف از جلو پاره شده، بانو راست می گوید و یوسف دروغگوست
249	And to set my face toward the way, as one upright, and not be one of those who associate others with God	و [دستور یافته ام] که [حق گرایانه و بدون انحراف با همه وجود] به سوی [این] دین درست واستوار روی آور، و از مشرکان مباش
250	God does not forgive that compeers be ascribed to Him, though He may forgive aught else if He please. And he who ascribes compeers to God is guilty of the gravest sin	مسلماً خدا اینکه به او شرک ورزیده شود نمی آمرزد، و غیر آن را برای هر کس که بخواهد می آمرزد. و هر که به خدا شرک بیاورد، مسلماً گناه بزرگی را مرتکب شده است
251	"And the Lord said to the angels: ""I am with you; go and strengthen the faithful. I shall fill the hearts of infidels with terror. So smite them on their necks and every joint, (and incapacitate them"	یاد کن] هنگامی را که پروردگارت به فرشتگان وحی کرد که من با شمایم، پس مؤمنان را [برای نبرد با دشمن] ثابت قدم دارید، [و] به زودی در دل کافران ترس می اندازم، پس سرهایشان را در هم کوبید و همه انگشتانشان را قطع کنید
252	As for the life of this world, it is nothing but a frolic and frivolity. The final abode is the best for those who are pious and fear God. Do you not comprehend	و زندگی دنیا [بدون ایمان و عمل صالح] بازی و سرگرمی است، و یقیناً سرای آخرت برای آنان که همواره پرهیزکاری می کنند، بهتر است. آیا نمی اندیشید؟
253	"Creator of the heavens and the earth from nothingness, He has only to say when He wills a thing: ""Be"", and it is"	بی سابقه ماده، مدت و نقشه] پدیدآورنده آسمان ها و زمین است. وهنگامی که فرمان به وجود آمدن چیزی را صادر کند فقط به آن می گوید: «باش». پس بی درنگ می باشد
254	"We sent Noah to his people (and he said): ""I give you a clear warning"	بی تردید نوح را به سوی قومش فرستادیم [که به آنان بگو:] من برای شما بیم دهنده ای آشکارم
255	What they spend in the life of this world is like a frosty wind which smites and destroys the crops of a people who had wronged themselves. God did not wrong them, they wronged themselves	داستان آنچه [کافران] در این زندگی دنیا انفاق می کنند، مانند بادی آمیخته با سرمایی سخت است که [به عنوان مجازات] به کشتزار قومی که بر خود ستم کرده اند برسد و آن را نابود کند؛ و خدا به آنان ستم نکرده است، ولی آنان به خویشتن ستم می ورزند
256	"Say: ""It is the blessing and mercy of God; so rejoice in it. It is better than all that you amass"	بگو: [این موعظه، دارو، هدایت و رحمت] به فضل و رحمت خداست، پس باید مؤمنان به آن شاد شوند که آن از همه ثروتی که جمع می کنند، بهتر است
257	They attribute daughters to God, the glorious, but for themselves whatsoever they please	و دختران را [به عنوان فرزند] برای خدا قرار می دهند، او منزّه [از توالد و تناسل] است؛ ولی برای خودشان آنچه را که [از پسران] میل دارند [به عنوان فرزند قرار می دهند
258	"When the husband saw the shirt torn at the back, he said: ""Surely this is a woman's ruse, and the wiles of women are great"	پس همسر بانو چون دید پیراهن یوسف از پشت پاره شده، گفت: این [فتنه و فساد] از نیرنگ شما [زنان] است، بی تردید نیرنگ شما بزرگ است
259	"A section of the people of the Book say: ""Believe in the morning what has been revealed to the faithful, and deny in the evening; they might perhaps turn back"	و گروهی از [عالمانِ] اهل کتاب [به پیروان خود] گفتند: اول روز به آنچه [از آیات قرآن] بر مؤمنان نازل شده [به مکر و حیله] ایمان آورید، و در پایان روز کفر ورزید، شاید [مؤمنان با این ایمان و انکار شما به تردید افتند و] از دینشان بازگردند
260	"Say: ""Had God pleased I would never have recited it to you, nor would He have given you comprehension of it. (Remember that I am one of you) and have lived a whole life with you before (its revelation). Even then you do not understand"	بگو: اگر خدا می خواست آن را بر شما نمی خواندم، و او هم شما را به آن آگاه نمی کرد؛ همانا مدت ها پیش از نزول قرآن در میان شما بودم، [و ادعای پیامبری نداشتم، اکنون صدق پیامبری خود را با این قرآن اثبات می کنم] آیا نمی اندیشید؟
261	"Those who were told: ""They have gathered an army, beware,"" and their faith increased and they said: ""God is sufficient for us, and the best of protectors"	همان کسانی که مردمِ [منافق و عوامل نفوذی دشمن] به آنان گفتند: لشکری انبوه از مردم [مکه] برای جنگ با شما گرد آمده اند، از آنان بترسید. ولی [این تهدید] بر ایمانشان افزود، و گفتند: خدا ما را بس است، و او نیکو وکیل و [نیکو کارگزاری] است
262	"Tell them: ""If you think you alone will abide with God to the exclusion of the rest of Mankind, in the mansions of the world to come, then wish for death if what you say is true"	بگو: اگر [آن گونه که می پندارید] سرای آخرت [با همه نعمت هایش] نزد خدا ویژه شماست نه مردم دیگر، پس چنانچه راستگویید مرگ را آرزو کنید
263	So, when Our command was issued We rescued Hud by Our grace, and those who believed, with him, and saved them from a dreadful doom	و هنگامی که فرمان ما [بر عذاب آنان] فرا رسید، هود و آنان را که با او ایمان آورده بودند با رحمتی از سوی خود نجات دادیم و آنان را از عذابی سخت رهایی بخشیدیم
264	Who is more unjust than he who imputes lies to God or denies His revelations? The sinners will surely not be reprieved	پس ستمکارتر از کسی که بر خدا دروغ بندد یا آیاتش را تکذیب کند، کیست؟ یقیناً گنهکاران، رستگار نخواهند شد
265	Nothing prevents the acceptance of what they spend except that they do not believe in God and His Apostle, and come to worship but languidly and spend only grudgingly	هیچ چیز آنان را از پذیرفته شدن انفاقشان بازنداشت، مگر آنکه آنان به خدا و پیامبرش کافر شدند، و نماز را جز با کسالت وسستی به جا نمی آورند، و جز با بی میلی و ناخشنودی انفاق نمی کنند
266	Yet those who do wrong, then repent and believe, are forgiven, for your Lord is forgiving and kind	و آنان که مرتکب بدی ها شدند، سپس بعد از آن توبه کردند، وایمان آوردند [امیدوار باشند که] یقیناً پروردگارت پس از آن [توبه وایمان] بسیار آمرزنده و مهربان است
267	For each We have appointed heirs to what parents and relatives leave behind. And to those you have given your pledge in marriage give their share, for God is witness to everything	و برای هر کسی از آنچه به جای گذاشته وارثانی قرار داده ایم، که از میراث پدر و مادر و خویشاوندان ارث ببرند و کسانی که با آنان پیمان [ازدواج یا پیمان های شرعی و عرفی] بسته اید؛ پس سهم ارث آنان را بدهید؛ یقیناً خدا بر همه چیز گواه است
268	"When he had supplied their provisions, he said to them: ""Bring your (half) brother with you. Have you not seen that I have given full measure, and that I am the best of hosts"	و هنگامی که زاد و توشه آنان را در اختیارشان قرار داد، گفت: برادر پدری خود را نزد من آورید، آیا نمی بینید که من پیمانه را کامل و تمام می پردازم و بهتر از هر کس مهمانداری می کنم؟
269	Ask the children of Israel how many a clear sign We had given them. But if one changes the favour of God after having received it, then remember, God is severe in revenge	از بنی اسرائیل بپرس: چه بسیار نشانه های روشن به آنان عطا کردیم، و هرکس نعمتِ [هدایت] خدا را پس از آنکه به او رسید، تبدیل [به کفر] کند، [بداند] که یقیناً خدا سخت کیفر است
270	But they were seized by the mighty blast towards the morning	پس هنگامی که به صبح درآمدند، صدایی [مرگبار و وحشتناک و غرّشی سهمگین] آنان را فرا گرفت
271	They will do you no harm but annoyance; and if they fight you they will only turn their backs, then no help will reach them	هرگز به شما جز آزاری اندک نمی رسانند، و اگر با شما بجنگند [شکست می خورند و] به شما پشت کرده [فرار می کنند] آن گاه [از جانب دیگران] یاری نمی شوند
272	O Prophet, urge the faithful to fight. If there are twenty among you with determination they will vanquish two hundred; and if there are a hundred then they will vanquish a thousand unbelievers, for they are people devoid of understanding	ای پیامبر! مؤمنان را به جنگ برانگیز که اگر از شما بیست نفر صابر باشند بر دویست نفر چیره می شوند، و اگر از شما صد نفر [صابر] باشند بر هزار نفر از کافران چیره می شوند؛ زیرا آنان گروهی هستند [که حقایق توحید و قدرت خدا را] نمی فهمند
273	But you should glorify your Lord with praises, and be among those who bow in submission	پس [برای دفع دلتنگی] پروردگارت را همراه با سپاس و ستایش تسبیح گوی و از سجده کنان باش
274	"When they meet the faithful they say: ""We believe;"" but when alone with the devils (their fellows), they say: ""We are really with you; we were joking"	و هنگامی که با اهل ایمان دیدار کنند، گویند: ما ایمان آوردیم و چون با شیطان هایشان [که سرانِ شرک و کفرند] خلوت گزینند، گویند: بدون شک ما با شماییم، جز این نیست که ما [با تظاهر به ایمان] آنان را مسخره می کنیم
275	Eat only that over which the name of God has been pronounced, if you truly believe in His commands	پس اگر به آیات خدا ایمان دارید، از آنچه [از گوشت حیوان حلال گوشتی] که [وقت ذبح شدن] نام خدا بر او برده شده بخورید [نه از ذبیحه گمراهان
276	"When they returned to their father, they said: ""O father, a further measure has been denied us. So send our brother with us that he may bring more grain. We shall take care of him"	پس هنگامی که به سوی پدرشان بازگشتند، گفتند: ای پدر! پیمانه از ما منع شد، پس برادرمان را با ما روانه کن تا پیمانه بگیریم، یقیناً ما او را حفظ خواهیم کرد
277	"They said: ""O Minister, he has an aged father, so keep one of us in his place. We see you are a virtuous man"	گفتند: ای عزیز! او را پدری سالخورده و بزرگوار است، پس یکی از ما را به جای او بازداشت کن، بی تردید ما تو را از نیکوکاران می بینیم
