id	en	ur
262	Then they ship them off, hundreds of miles away to hard-line schools that run along the Taliban agenda	پھر وہ انہیں بھیج دیتے ہیں، سینکڑوں میل دور سخت گیر اسکولوں میں جو کہ طالبان کے ایجنڈے کے ساتھ ساتھ چلتے ہیں
263	So I could create one segment that connects this point to this point and then another one that connects this point to this point	تو میں یک لکیر بناتا ہوں جو اس نقطے کو اس نقطے سے جوڑے گا اور پھر یک اور جو
264	When you're open, when your mind is ready to take it	کہ جب آپ خوش ہوں جب آپ اس ویڈیو کو دیکھیں
265	Pay attention to not only how fun this thing is, but also how the portability that comes with this can totally change the way you interact with a city like San Francisco	اب دیکھیں کہ یہ نہ صرف کتنی تفریح چیز ہے ، بلکہ لانے - لیجانے میں آسانی کے بائث ، ' سان فرانسسکو ' جیسے شہر سے آپ کا تعلق کتنا مختلف ہو جاتا ہے
266	If t is 30 minutes, it would be 5:30	اگر 'ٹی' ہے 30 منٹ تو تب بجے ہونگے ساڑھے 5
267	They're all doing it for the purpose of saving lives	یہ تمام جان بچانے کے مقصد کے لئے کام کر رہے ہیں
268	Please do count the start and the goal node, and please give me the same numbers for Right-to-Left Search, for Breadth-First, and Depth-First	شروع اور مقصد نوڈ شمار کرتے ہیں ، براہ مہربانی اور براہ مہربانی مجھے دائیں سے بائیں بازو کی تلاش کے لئے ایک ہی تعداد میں دے، کے لئے چوڑائی کے سب سے پہلے، اور گہرائی سے پہلے
269	Right now, this is all that I can do for you. Now eat	اب یہ کہ تمام میں آپ کے لئے کیا کر سکتے ہیں ہے. اب ھاو
270	But only if I get permission from my dad	لیکن صرف اگر مجھے میرے والد صاحب کی اجازت ہو
271	Anything less than minus 2 is going to satisfy both of these	کوئ بھی عدد جو کہ منفی 2 سے چھوٹا ہو وہ ان دونوں مطالبات کو مطمئن کر دے گا
272	I just used terminology without explaining it, which is very bad	میں نے الفاظ بغیر سمجھاۓ استعمال کر لیا جو کہ بہت بری بات ہے
273	I mean it looks like just one line and it really is	میرا مطلب یہ ایک لکیر کی طرح ہےجو کہ اصل میں ہے
274	As long as you understand the underlying principles - what these numbers represent - and you do things that make sense, you should be okay	جہاں تک بنیادی اُصولوں کو سمجھنے کا تعلّق ہے، وہ یہ ہے کہ یہ نمبرز کس کی نمائیندگی کرتے ہیں۔ اوروہ طریقہ استعمال کیجیئے جو اٰپ کو صحیح معلوم ہوتا ہے، تو اٰپ ٹھیک رہیں گے
275	In an absolute abundance of resources, power, human development and culture and everything, still there's many issues	اتنے سارے وسایل اور طاقت کے ذخیرے ھوتے ھوے انسانی ترقی کے اس مقام پر، کلچر کی اس نہج پر، اور ہر چیز کے ہوتے ھوے
276	And let me zoom in a little bit, because that might help	میں اسے تھوڑا بڑا کرتا ہوں، کیونکہ یہ مددگار ہوگا
277	Here in the United States, I think you see it in this election campaign: a longing for change	یہاں امریکہ میں، میرا خیال ہے آپ نے اس انتخابی مہم میں دیکھی ہوگی: تبدیلی کی خواہش
278	And now we have to subtract: 633 - 6	اور اب ہم نےتفریق کرنا ہے 6 - 633
279	"Both can be used instead of petroleum-based roofing materials that absorb heat, contribute to urban ""heat island"" effect and degrade under the sun, which we in turn breathe"	"دونوں کو پٹرولیم پر مبنی چھتوں کے مواد کی بجائے استعمال کیا جا سکتا ہے جو حرارت کو جذب کرتے ہوئے شہری ""جزیرہ حرارت"" کے اثر میں شامل ہوتی ہیں اور سورج کے نیچے تنزلی کی جانب"
280	I love this class, I love these topics, simply because all of us are making decisions all the time and it is so applicable	مجھے اس کلاس سے محبت ہے اس موضوع سے محبت ہے
281	She arrives at 5:00, 5 o'clock, and just starts walking	وہ پہنچتی ہے 5 بجے، پورے 5، اور چلنا شروع کر دیتی ہے
282	In order to be optimistic about this, we have to become incredibly active as citizens in our democracy	چھوڑ جاتے ہیں۔ اس کے متعلق امید پرست ہونے کے لئے ہمیں اپنی جمہوریت میں غیر معمولی حد تک فعال ہونا پڑے گا
283	And now if I had two angles within that	اب اگر میرے پاس دو زاویہ ہوں اس کے اندر
284	It seems like a lot of time. It's going to go pretty quick	یوں لگتا ہے یہ بہت وقت ہے مگر یہ جلدی گزر جاے گا
285	So the traditions also insisted -- and this is an important point, I think -- that you could not and must not confine your compassion to your own group: your own nation, your own co-religionists, your own fellow countrymen	تو پھر تہذیبوں نے یہ بھی اصرار کیا - اور میں سمجھتی ہوں یہ ایک اہم نکتہ ہے - کہ آپ دردمندی کو نہ تو محدود کرسکتے ہیں اور لازماً آپکو کرنا بھی نہیں چاہیے اپنے گروہ: آپکی اپنی قوم، آپکے اپنے ہم-مذہب،
286	After your military service, I thought you'd grow up	اپنے فوجی سروس کے بعد، میں نے سوچا تھا کہ تم بڑے ہو گے
287	And that's happened now in a number of countries	اور یہ کام اب بہت سے ممالک میں ہوچکا ہے
288	So you have x minus 1 over x plus 2 greater than 0	تو آپ کے پاس ہے 'ایکس' تفریق 1 بٹہ 'ایکس' جمع 2 جو کہ بڑا ہے 0 سے
289	That's sort of the deadline that the environmental models have shown us that we have to meet	یہ اندازاً وہ حتمی تاریخ یا مدت ہے جو ماحولیاتی ماڈلوں نے ہمیں دکھائی ہے کہ جسے ہمیں پورا کرنا ہے
290	So 3 plus 8 is 11. The 1 in the ones place, and the 1 in the tens place. 10 plus 1 is 11	تو 3 جمع 8 هے 11. ایک کو 1 کی جگہ اور 1 کو دھائی کی جگہ۔ 10 جمع 1 بنتا هے 11
291	I got it. Hey, the car's in great shape	مجھے مل گیا. ارے، گاڑی عظیم شکل میں ہے
292	So let me draw a carbon 12 nucleus	چلیے میں ایک کاربن ١٢ کا گودا بناتا ہوں
293	On another day we wake up to the news of the assassination of army officers	ایک اور خبر آرمی آفیسرز کو قتل کرنے کی تھی
294	Oh yeah, you saw this while I was working on it	اوہ، جی ہاں، آپ کو یہ نے دیکھا جب میں اس پر کام کر رہا تھا
295	Traffic was horrific, and we were coming from the other side of town in the north part of Jerusalem	ٹریفک بہت بری تھی ، اور ہم آرہے تھے شمالی جروسالم کے حصے سے
296	And I hold this penny in the palm of my hand, and it's sticky and rusty, but it feels like I'm holding a fortune	اور میں وہ سکہ اپنی ہتھیلی پر رکھے ہوے ہوں , زنگ آلود ،چپ چپا سکہ , مجھے لگ رہا تھا کہ جیسے تقدیر میرے ہاتھ میں ہے
297	So it's three hundred and seventy-five, ignore that blob	تو یہ ہوا 375, اس گندگی کو نظر انداز کردیں
298	I'm sorry to tell you this, but for the patient's sake	مجھے آپ کو یہ بتانے کی معافی چاہتا ہوں، لیکن مریض کے لئے
299	The numbers have not moved since 2002 and are going in the wrong direction	؁ٴ ۲۰۰۲ سے یہ اعداد نہیں بدلے اور غلط سمط میں جا رہے ہیں
300	So it's like to me, it's both art and science	میرے لیے یہ آرٹ بھی ہے اور سائنس بھی
301	led to hatred and disdain, or contempt of other people -- any people whatsoever -- was illegitimate	نفرت، ذلت، یادوسرے لوگوں کی توہین کی طرف لے جاتی ہو- کوئی بھی لوگ - ناجائز ہے
302	And one time, when he finally got his box of Frosted Flakes back, it was crawling with roaches	اور آخر کار اس کو اس کا ڈبہ واپس مل گیا, کاکروچ سے بھرا نم آلود دلیے کا ڈبہ
303	You even saw these volunteers in New York saving lives in the World Trade Center	آپ نے ان رضاکاروں کو نیویارک میں بھی دیکھا ہے ورلڈ ٹریڈ سینٹر میں جان بچاتے ہوۓ
304	And let's cross all this stuff out since we're not using it	تو چلے ان سب کو کاٹ دیتیں ہیں. کیونکے ہم اسے استمال نہیں کر رہے ہیں
305	"Thus we are told that ""My mercy takes precedence over my anger"	"اور ھمیں بتایا گیا ھے کہ، اللہ یہ کہتا ھے، "" میری رحمت میرے غضب پر حاوی ھے"
306	Or you could say if x is great-- well, you could go both ways in that	یا آپ کہہ سکتے ہیں کہ اگر 'ایکس'، بہت بڑھیا، آپ اس کو دونوں طرح سے کر سکتے ہیں
307	I'm going to do the same two ways we did last time, but I'm going to reverse the order of the two ways that I do it	میں اسے انہی دو طریقوں سے کروں گا جس سے ہم نے پچھلی بار کیا تھا، لیکن میں ان دو طریقوں کی ترتیب کو الٹ دوں گا
308	And so these are all Flickr images, and they've all been related spatially in this way	تو یہ سب فلکر کی تصاویر ہیں، اور مکان کے اعتبار سے ان سب کا ایک دوسرے سے تعلق ہے
309	Can I think of you as Dae-jin and say something	ڈییئ جن کے طور پر میں اور تم میں سے کچھ کا کہنا ہے کہ سوچ سکتے ہیں؟
310	Don't make decisions too far in advance, particularly ones you're not even conscious you're making	پہلے سے فیصلے مت کریں، خصوصاً وہ فیصلے جو لاشعوری ہوں
311	You have to train health staff. You have to educate the population	آپ کو صحت کے عملے کو تربیت دینی پڑتی ہے۔ آپ کو آبادی کو تعلیم سے آراستہ کرنا ہوتا ہے
312	Now we wanted to find the slope at exactly that point right there	اب ہم معلوم کرنا چاہتے ہیں سلوپ بالکل اس نقطے پر۔ اب ہم معلوم کرنا چاہتے ہیں سلوپ بالکل اس نقطے پر
313	So what's the total amount of time that he would have traveled on that day	تو کیا ہو گا کل دورانئ وقت جو کہ اس نے اس دن سفر کیا ہوگا؟
314	I think we've just stumbled across a self-organizing system	میرا خیال ہے کہ ہم اچانک پہنچ گئے ہیں ایک خود ساختہ منظم نظام کے پاس
315	So if you add 10 to 1, what do we have	تو10 میں 1 جمع کرنے سے کیا بنتا ہے؟
316	I never imagined that it's going to go all around, it's going to spread around, and this last year we started in Panama and Brazil	میں تصور بھی نہیں کرسکتا تھا کہ یہ ہر جگہ گھومے گی، یہ ہر جگہ پھیلے گی، اور پچھلے سال ہم نے اسے پاناما اور برازیل میں شروع کیا
317	So what do I mean by alternate interior angles	تو میرا اندر والے مخالف زاویوں سے کیا مطلب ہے؟
318	So, if we subtract v t1 from both sides, we get 100 is equal to 3v t1 minus v t1, that's 2v t1, and divide both sides by 2, you get 50. v t1 is equal to 50	تو، اگر ہم 'ٹی1' کو دونوں اطراف سے تفریق کر دیں، ہمیں ملے گا، 100 برابر ۔۔'3وی ٹی 1' تفریق 'وی ٹی 1'، جو کہ ہے '2 وی ٹی 1' اور دونوں اطراف کو تقسیم کریں 2 سے، آپ کو ملے گا، 50
319	Not far from where I live is a place called Death Valley	میری رہائش گاہ سے کچھ دوری پر ایک جگہ ہے جسے ' ڈیتھ ویلی ' کہتے ہیں
320	my hair isn't yellow but it contrasts nicely with the black	مگر کالے رنگ سے اچھی طرح برعکس ہوتا ہے
321	What if that picture links to all of your pictures	اب، اس وقت کیا ہوتا ہے جب وہ تصویر آپ کی تمام تصاویر سے منسلک ہوجاتی ہے؟ پھر معنویتی باہم مربوط اور اس سے باہر آنے والی
322	Well, distance is equal to rate, 3v, times time, t1	تو، فاصلہ برابر ہے رفتار، '3 وی'، گنا وقت 'ٹی 1
323	And the goal for you is to identify if and when I do	اور آپ کا کام ہے اس کو پکڑ نا
324	You know, this doesn't look like a rational expression	پتہ ہے ، یہ کچھ ناطق ایکسپریشن کی طرح دکھ نہیں رہا
325	That's Hwang Dae-jin's face. Know do you get it? Do you	یہ ہوانگ ڈییئ کے جن کا چہرہ ہے. پتہ ہے تم کرتے ہو؟ کیا تم؟
326	Well, the actual spending on the R&amp;D piece -- say the U.S. should spend 10 billion a year more than it is right now -- it's not that dramatic	جبکہ ہمارے کرنے کے لیے زیادہ بہتر کام موجود ہیں
327	So, I will talk about my role in second year and your role	میرا کردار اس میں ثانوی ہو گا۔ مگر میرا خیال ہے کہ
328	America spends more money on education than most other countries	امریکہ تعلیم پر زیادہ پیسے خرچ کرتا ہے بہت سے ممالک کے مقابلے میں
329	This encompasses everything: the food we eat, clothing, TV, heating	اس میں ہر چیز شامل ہے، جو کھانا ہم کھاتے ہیں، کپڑے، ٹی وی، ہیٹر
330	So I assume you've tried on your own, Now I'll work through them with you	اچھّا تو میں یہ سمجھ لیتا ہُوں کہ آپ نے اپنے طور پر کوشش کر لی ہے، اب میں اِن کو آپ کے ساتھ مِل کر حل کرتا ہُوں
331	Of course it's a logarithmic scale here, but our concept of economy is growth with percent	لیکن معیشت کا ہمارا تصور فیصد کے ہمراہ نمو پر مبنی ہے۔ ہم اسے
332	And then this angle is going to be equal to this angle for the same reason-- because it's opposite	اور پھر اس ہی وجہ سے یہ زاویہ اس زاوئے کے برابر جارہا ہے وہی وجہ ہے کیونکہ یہ مخالف ہیں
333	So let's think: How should we measure ourselves	تو آئیے سوچیں کہ ہمیں اپنا احتساب کیسے کرنا چاہیے؟
334	And you can't discuss universal access to HlV [medicine] for that quintile up here with the same strategy as down here	سب کی رسائی کے متعلق اسی حکمت عملی سے تبادلۂ خیال نہیں کرسکتے جو یہاں نیچے ہے۔ دنیا کی بہتری تناظر میں ہونی چاہیے اور
335	I see. Wouldn't just one banner out in front be good enough	میں دیکھ رہا ہوں. سامنے صرف ایک بینر کافی اچھا نہیں ہوگا؟
336	And I'm really happy to do this class for you. It's free, it's online, and we'll talk a little	اور مجھے یہ کلاس کراتے ہوئے بہت خوشی ہے۔ یہ مفت ہے، آن لائن ہے اور ہم اس پہلو پر مزید بات کریں گے
337	We'll give them a paper test -- no computers, no talking to each other, etc	ہم انھیں تحریری امتحان دیں گے -- نہ کوئی کمپیوٹر ہو گا، نہ آپس میں بات چیت، وغیرہ وغیرہ
338	CA: It's a nuclear power plant that is its own waste disposal solution	کرس اینڈرسن: یعنی یہ ایک ایسا جوہری توانائی کا پلانٹ ہوگا جو اپنا فضلہ بھی خود ہی صاف کیا کرے گا
339	But I do not want you to focus too much on materials that I give you	میں یہ نہیں چاہتا کہ آپ میرے دیے ہوئے مواد پر بہت زیادہ توجہ دیں،
340	I knew that this forgotten little street-end, abandoned like the dog that brought me there, was worth saving	مجھے علم تھا کہ گلی کے اس متروک کنارے، جسے مجھے یہاں لانے والی کتیا کی طرح لاوارث چھوڑا گیا تھا، کو بچانا ضروری ہے
341	That's not his real name, and I cannot show you his face, but Ahmed is the father of one of my students	اور میں آپکو اسکی تصویر بھی نہیں دکھا سکتی مگر وہ میری ایک شاگرد کا والد ہے
342	So all of these negative numbers also work	تو یہ تمام منفی اعداد بھی کارگر ہیں
343	They downloaded it from Disney.com, or one of these websites, 14 days after putting the computer in their village	انھوں نے یہ ڈزنی .کام سے ڈاؤن لوڈ کر لی تھی یا شائد اسکی کسی ویب سائٹ سے، کمپیوٹر ان کے گاؤں میں رکھنے کے صرف چودہ دن بعد
344	A man of all men. A real man. Have a drink, men	تمام آدمیوں میں سے ایک آدمی. ایک حقیقی شخص ہے. ایک جام لو، مردوں
345	What are the messages we tell the women that work with and for us	خود کو اور اپنے ساتھ کام کرنے والی خواتین کو اور اپنی بیٹیوں کو
346	Notice that two to the fourth is equal to four times four, right	غور کریں کہ دو کی پاور چار ، چار دفعہ چار کے برابر ہے، ٹھیک؟
347	And they're great. We can make great little sculptures with these	اور یہ دونوں ترکیبیں بہت عمدہ ہیں۔ اس سے ہم چہوٹے چہوٹے اچھے مجسمے بناسکتے ہیں
348	And when it comes out, a series of wiki sites under the label WlSER, are going to launch at the same time	اور جب یہ منظرعام پر آۓ گی ، تو 'وائزر' کے نام سے سلسلہ وار وکی سائٹس کا افتتاح ہوگا
349	And then Carrie reads all the books in the original Greek and Latin, goes to all the lectures	کیری سبھی کتابیں پڑھتی تھی خالص لاطینی اور یونانی زبان میں تمام لیکچرز میں شرکت کرتی تھی
350	If you really love me~ You can wait a little longer, even if it may be just once~ The feeling's important ~	آپ واقعی مجھ سے پیار کرتی ہو ~ آپ انتظار کر سکتا ہے اب تھوڑا ، بھی اگر ہو سکتا ہے صرف ایک بار ~ کی احساس اہم ~
351	And let's write that in terms of y is a function of x, just so we have something that we can work with the way we learned it	دو اور لکھ کہ وائی کی شرائط میں ایکس کی ایک تقریب ہے، صرف تو ہم کچھ ہے کہ ہم ساتھ مل کر کام کر سکتے ہیں جس طرح سے ہم نے یہ سیکھ لیا ہے
352	And it is based on an old model	اور یہ ایک پرانے نمونے پر مبنی ہے
353	So I just used eight and twenty-seven and sixty-four because when I raised them to the fractional exponents, they actually come out to be clean numbers	تو میں نے آٹھ اور ستایس اور چونسٹھ استعمال کیا ہے کیونکہ جب میں ان کی قوت نما کسر میں دیتا ہوں تو میرے پاس ایک صاف نمبر آتا ہے
354	We hope that this means no more pop-ups and other rubbish like that -- shouldn't be necessary	ہمیں امید ہے کہ اس سے مراد پاپ اپ یا اس قسم کا دیگر بکواس نہیں ہے ۔۔ اس کی ضرورت بھی نہیں ہونی چاہیے
355	After 10 years in Lebanon, from national marathons or from national events to smaller regional races, we've seen that people want to run for a better future	لبنان میں 10 سال کے بعد، قومی میراتھن سے یا قومی واقعات سے چھوٹے علاقائی دوڑوں تک، ہم نے دیکھا ہے
356	Let's just do it. - Are you crazy	چلو ایسا کریں. - کیا تم پاگل ہو گئے ہو؟
357	In the late '40s, my dad -- a Pullman porter, son of a slave -- bought a house in the Hunts Point section of the South Bronx, and a few years later, he married my mom	40 کی دہائی کے آخری سالوں میں، پل مین پر بطورِ قلی کام کرنے والے میرے باپ، ایک غلام کا بیٹا، ۔۔ نے ساؤتھ برونکس کے ہنٹس پوائنٹ حصے میں ایک گھر خریدا، اور چند سالوں بعد اس نے میری ماں سے شادی کرلی
358	There's a huge history of artificial intelligence finding methods to look at data over time and make predictions as to how courses develop over time-- and then put in trades behind those	مصنوعی ذہانت کا ایک بڑا تاریخ اعداد و شمار پر غور کرنے کے طریقوں کو تلاش کرنے، وقت کے ساتھ، اور کس طرح کورس وقت پر کی ترقی کے طور پر پیشن گوئی کر -- اور پھر ان کے پیچھے علامات میں ڈال دیا
359	And they have different signs, positive 9, negative 3	اور علامات مختلف ہیں، مثبت نو، منفی تین
360	Al Gore: There is an old African proverb that says	ال گور : ایک پرانی افریقی کہاوت ہے جو کہتی ہے کہ،
361	The Arabic texts containing this mathematical wisdom finally made their way to Europe -- which is to say Spain -- in the 11th and 12th centuries	ریاضی کی دانائی سے بھرپور یہ عربی عبارات آخرکار یورپ تک پہنچ گئیں -- یعنی کہ اسپین میں پہنچیں
362	And it wasn't that difficult. It took some person years, and we have produced animations	اور یہ اتنا مشکل نہیں تھا۔ اس میں چند سال لگے اور ہم نے اسے فعال سطح پر تیار کر لیا ہے
363	This is actually a poster of Notre Dame that registered correctly	یہ دراصل نوترے دیم کا ایک پوسٹر ہے جس کا درست طریقے سے اندراج کیا گیا ہے
364	Dude, you've got nothing but luck. Take this	دوست ، آپ کو قسمت پر کچھ نہیں ملا ہے. یہ لے لو
365	In fact, that's your first homework, to get to know the syilabus inside out	اور مجھے امید ہے کہ آپ اس کا جائزہ لیں گے درحقیقت یہ آپ کا پہلا ہوم ورک ہے کہ نصاب کو جانیں
366	In fact, I could even add some movement to my sculptures	یہاں تک کہ، میں اپنے مجسمے میں حرکت بھی شامل کرسکتی ہوں
367	As a black person in America, I am twice as likely as a white person to live in an area where air pollution poses the greatest risk to my health	امریکا میں ایک سیاہ فام کی حیثیت سے، میرا کسی سفید فام شخص کے مقابلے میں کسی ایسی جگہ رہنے کا امکان دگنا ہے جہاں فضائی آلودگی میری صحت کے لئے سب سے بڑا خطرہ ہو
368	But now, Bangladesh -- it's a miracle that happens in the '80s: the imams start to promote family planning	لیکن اب، بنگلہ دیش ۔۔ یہ ایک معجزہ ہے جو 80 کی دہائی میں ہوا: اماموں نے خاندانی منصوبہ بندی کی تبلیغ شروع کر دی
369	So the cup's going to look like that, so the bottom part of the cup's going to look like this	تاکہ تو کپ اس طرح دیکھنے کے لئے جا رہا ہے، کے سب سے نیچے کا حصہ کپ اس طرح دیکھنے کے لئے جا رہا ہے
370	We have work to do. And we can mobilize resources and political will	ہمیں اس مقصد کے لئے کام کرنا ہے۔ اور ہم وسائل اور سیاسی عزم
371	Eventually, the whole number gets dialed and I'm listening to the phone, and my colleague picks up the phone and he says to me	آخرکار تمام ہندسے مل چکے اور میں نے سنا کہ فون کی گھنٹی بجنے لگی میری نوکری پر ایک ساتھی نے فون اٹھایا اور مجھ سے کہا
372	It's like people are sailing into a headwind all the time	یہ ایسے ہے جیسے لوگ تیز ہوا کی مخالف سمت کشتی چلارہے ہیں
373	And the whole reason why we did that is because this and this will cancel out	اور اس سب کی وجہ کہ ہم نے یہ کیوں کیا، وہ یہ ہے کہ یہ اور یہ بالآخر ختم ہو جائیں گے
374	If you test men and women, and you ask them questions on totally objective criteria like GPAs, men get it wrong slightly high, and women get it wrong slightly low	اگر آپ خواتین اور مردوں کا امتحان لیں، اور أن سےاصولی طریقے جیسے کہ جی پی اے کی بنیاد پر سوال پوچھیں جو وہ کچھ زیادہ غلط جواب دیں گے
375	One of the great things about computing is that you don't really need a lot of resources to build something that can change the world	آپ کے پاس کتنی طاقت ہے اور کیا کچھ آپ بنا سکتے ہیں جو دنیا میں تبدیلی لا سکتا ہہ آپ کے پاس کتنی طاقت ہے اور کیا کچھ آپ بنا سکتے ہیں جو دنیا میں تبدیلی لا سکتا
376	And if you do that, people will rise to it and achieve things that you completely did not anticipate and couldn't have expected	اور اگر آپ ایسا کریں گے، تو لوگ آگے بڑھیں گے اور ایسی مقاصد حاصل کریں گے جنہیں آپ نے سوچا نہ تھا اور توقع بھی نہیں کرسکتے تھے
377	After this, we noticed a couple of interesting things, which you'll see	اس کے بعد ہم نے چند دلچسپ باتوں کا مشاہدہ کیا جو ابھی آپ بھی دیکھیں گے
378	Do you have lighting in your house to be able to read your homework	کیا آپ کے گھر میں اتنی بجلی آتی ہے جو آپکے ہوم ورک کے پڑھنے کے لیے کافی ہو،
379	It's structured, so it ends up being simple to remember, and it's okay to break it here and there	یہ منظم ہے، جو بالآخر یاد رکھنے کے لئے آسان ہے۔ اور اسے یہاں وہاں سے حذف کرنے میں کوئی برائی نہیں ہے
380	It took me three years to publish that	مجھے تین سال کا عرصہ لگا اس کی اشاعت میں
381	Actually, let's make that's seventy-five point one eight	اصل میں، چلیں اس کو کرتے ہیں 75.18
382	"And they said, ""Messenger of God, we are battle-weary"	"اور پیروکاروں نے کہا ، "" اے اللہ کے رسول ، ہم اس لڑائی میں تھکاوٹ سے ٹوٹ چکے ہیں"
383	Every large image is the beginning of a section	ہر بڑی تصویر ایک حصے کا آغاز ہے
384	Or another way of thinking about it, we're subtracting 600, we're subtracting 50, we are subtracting 9	ہم تفریق کررہےہیں600، هم تفریق کررهے ہیں 50 کو، ہم تفریق کررہےہیں 9 کو
385	So I could tell you what negative one to the fifty-first power is	تو میں آپ کو بتا سکتا ہوں کیا ہو گا منفی ایک کی پاور اکاون
386	I think most of the time, learning happens in two hour blocks, people sit quietly in the room, and one guy does the talking or one woman does the talking	میرا خیال ہے زیادہ تر وقت 2 گھنٹوں کے ٹکڑے میں سیکھایا جاتا ہے جب لوگ چپ چاپ ایک کمرے میں بیٹھے ہوں ۔ اور ایک آدمی یا عورت باتیں کر رہی ہو۔ میرا خیال ہے کہ درحقیقت ایسے نہیں سیکھا جاتا
387	And religious doctrines are meant to be summons to action; you only understand them when you put them into practice	اور پھر مذہبی نظریات کا مطلب ہی عمل کیلیے آمادہ کرنا ہے؛ آپ انکو صرف اسی وقت سمجھتےہیں جب آپ ان پر عمل کرتے ہیں
388	That's this reddish line that I've drawn right there	جو یہ لال لکیر ہے جو میں نے یہاں کھینچی ہے
389	Now take a good look. - That's her	اب ایک اچھی طرح سے دیکھ لے. - یہ اس کی ہے؟
390	And as we've heard here, it is no exaggeration to say that we hold the future of our civilization in our hands as never before	اور جس طرح ہم نے یہاں سنا ہے ، اور یہ کوئی مبالغہ نہیں ہے کہ ہماری تہذیب کا مستقبل پہلے سے کہیں زیادہ
391	It's not the first time you've heard this	یہ پہلی بار ہے آپ کو یہ سنا ہے نہیں ہے
392	So if you think of a map of your country	اگر اپ اپنے ملک کے نقشے پر غور کریں،
393	And that should save over two thirds of the lives if it's effective	اور اگر وہ مؤثر ثابت ہوئی تو ہم دو تہائی سے بھی زیادہ زندگیاں بچانے میں کامیاب ہوجائیں گے
394	His family lost everything, and at age 11, he had to live in motels with his dad, motels that would round up all of their food and keep it hostage until they were able to pay the bill	ان کے خاندان نے سب کچھ کھو دیا تھا ،اور گیارہ سال کی عمر سے ، وہ اپنے والد کے ہمراہ موٹل میں رہا , موٹل جہاں کھانے کے بدلے میں
395	These land-use decisions created the hostile conditions that lead to problems like obesity, diabetes and asthma	زمین کے استعمال کے ان فیصلوں نے ایسے معاندانہ حالات پیدا کر دیے ہیں جن کے نتیجے میں موٹاپا، ذیابیطس اور دمہ جیسے مسائل پیدا ہوجاتے ہیں
396	Obedience and modest speech (would have been more becoming). And when the matter has been determined it is best for them to be true to God	حکم ماننا اور نیک بات کہنا (لازم ہے) پس جب بات قرار پا جائے تو اگر وہ الله کے سچے رہے تو ان کے لیے بہتر ہے
397	"And We said to them: ""Go, all of you. When I send guidance, whoever follows it will neither have fear nor regret"	ہم نے کہا کہ تم سب یہاں سے نیچے اتر جاؤ پھر اگرتمہارے پاس میری طرف سے کوئی ہدایت آئے پس جو میری ہدایت پر چلیں گے ان پرنہ کچھ خوف ہوگا اور نہ وہ غمگین ہوں گے
398	Of molten pitch shall be their garments, their faces covered with flames	ان کے کرتے گندھک کے ہوں گے اور ان کے مونہوں کو آگ لپیٹ رہی ہوگی
399	And will admit them into gardens with which he has acquainted them	اور انہیں بہشت میں داخل کرے گا جس کی حقیقت انہیں بتا دی ہے
400	"Noah called on his Lord and said: ""O Lord, my son is surely a member of my family, and verily Your promise is true, as You are the most just of all judges"	اور نوح نے اپنے پروردگار کو پکارا اور کہا کہ پروردگار میرا بیٹا بھی میرے گھر والوں میں ہے (تو اس کو بھی نجات دے) تیرا وعدہ سچا ہے اور تو سب سے بہتر حاکم ہے
401	Do they not think for themselves that God did not create the heavens and the earth and all that lies between them without reason and a determined purpose? But many men reject the meeting with their Lord	کیا وہ اپنے دل میں خیال نہیں کرتے کہ الله نے آسمانوں اور زمین کواور جو کچھ ان دونوں کے درمیان ہے عمدگی سے اور وقت مقرر تک کے لیے بنایا ہے اور بے شک بہت سے لوگ اپنے رب سے ملنے کے منکر ہیں
402	No eyes can penetrate Him, but He penetrates all eyes, and He knows all the mysteries, for He is all-knowing	اسے آنکھیں نہیں دیکھ سکتیں اور وہ آنکھوں کو دیکھ سکتا ہے اوثر وہ نہایت باریک بین خبردار ہے
403	Such things were asked by a people before you, but they disbelieved them afterwards	ایسی باتیں تم سے پہلے ایک جماعت پوچھ چکی ہے پھر وہ ان باتوں کے وہ مخالف ہوگئے
404	O believers, if you follow the path shown by God, He will give you a standard (of right and wrong), and overlook your sins, and forgive you. God is abounding in benevolence	اے ایمان والو اگر تم الله سے ڑرتے رہو گے تو الله تمہیں ایک فیصلہ کی چیز دے گا اور تم سے تمہارے گناہ دور کر دے گا اور تمہیں بخش دے گا اور الله بڑے فضل والا ہے
405	"Moses replied: ""By no means. My Lord is with me. He will show me the way"	موسیٰ نے کہا ہرگز نہیں میرا پروردگار میرے ساتھ ہے وہ مجھے رستہ بتائے گا
406	When the trumpet blast is sounded no ties of lineage will hold among them, nor will they ask after one another	پھر جب صور پھونکا جائے گا تو نہ تو ان میں قرابتیں ہوں گی اور نہ ایک دوسرے کو پوچھیں گے
407	But those who try to subvert Our signs will be given over to punishment	اوروہ جو ہماری آیتوں کے رد کرنے میں کوشش کرتے ہیں وہ عذاب میں پکڑ کر حاضر کیے جائیں گے
408	Nor cease to endeavour praising Him night and day	رات اور دن تسبیح کرتے ہیں سستی نہیں کرتے
409	Those who defame chaste women and do not bring four witnesses should be punished with eighty lashes, and their testimony should not be accepted afterwards, for they are profligates	اور جو لوگ پرہیزگار عورتوں کو بدکاری کا عیب لگائیں اور اس پر چار گواہ نہ لائیں تو ان کو اسی درے مارو اور کبھی ان کی شہادت قبول نہ کرو۔ اور یہی بدکردار ہیں
